企业名(name),中文名(name_cn),当前一级(tag_l1),当前二级(tag_l2),被审目标标签,是否问题(是/否),原二级(被审那个),建议二级(若问题),理由(≤40字),国家(country),简介(description简)
慢糖家,慢糖家,食品营养,保健品,保健品,否,保健品,,,,慢糖家是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
成家相亲,成家相亲,文娱社交,文娱|相亲|社交平台,文娱,否,文娱,,,,成家相亲是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
成家相亲,成家相亲,文娱社交,文娱|相亲|社交平台,社交平台,否,社交平台,,,,成家相亲是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
戴恩,戴恩,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,戴恩是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
戴恩,戴恩,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,戴恩是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
护卫神,护卫神,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,护卫神是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
护卫神,护卫神,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,护卫神是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
振邦,振邦,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,振邦是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
振邦,振邦,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,振邦是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
摩登银龄,摩登银龄,文娱社交,文娱,文娱,否,文娱,,,,摩登银龄是银发经济领域行业服务商，为养老产业提供相关产品或服务。
擎浩护理,擎浩护理,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,擎浩护理是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
擎浩护理,擎浩护理,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,擎浩护理是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
救救帮,救救帮,养老服务|消费品,适老化改造|智能硬件,智能硬件,否,智能硬件,,,,救救帮是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。
斯维驰,斯维驰,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,斯维驰是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
斯维驰,斯维驰,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,斯维驰是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
方家铺子,方家铺子,食品营养,保健品,保健品,否,保健品,,,,方家铺子是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
时光派,时光派,食品营养,保健品,保健品,否,保健品,,,,时光派是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
时尚奶奶团,时尚奶奶团,文娱社交,文娱,文娱,否,文娱,,,,时尚奶奶团是银发经济领域行业服务商，为养老产业提供相关产品或服务。
易乐车业,易乐车业,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,易乐车业是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
易乐车业,易乐车业,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,易乐车业是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
星巡智能,星巡智能,医疗健康,健康管理,健康管理,否,健康管理,,,,星巡智能是智能家居品牌，为老年家庭提供智能安防和环境监测方案。
普健济康,普健济康,金融保险,产业资本,产业资本,否,产业资本,,,,普健济康是关注银发经济赛道的投资机构，在医疗健康和养老产业有投资布局。
景昱,景昱,医疗健康|消费品,康复医疗|智能硬件,智能硬件,否,智能硬件,,,,景昱是康复医疗品牌，提供老年康复训练、物理治疗等康复服务或设备。
晶彩人生,晶彩人生,文娱社交,文娱|社交平台,文娱,否,文娱,,,,晶彩人生是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
晶彩人生,晶彩人生,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,晶彩人生是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
智云健康,智云健康,医疗健康,健康管理|慢病管理,健康管理,是,健康管理,慢病管理,糖尿病/慢病属慢病管理,,智云健康是国内最大的慢病管理平台，聚焦糖尿病等慢性病管理，为医院和患者提供数字化慢病管理SaaS服务，已上市。
智听,智听,养老服务|消费品,助听器|智能硬件|适老化,适老化,否,适老化,,,,智听是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
智听,智听,养老服务|消费品,助听器|智能硬件|适老化,智能硬件,否,智能硬件,,,,智听是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
智宇孝老,智宇孝老,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,智宇孝老是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
智宇孝老,智宇孝老,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,智宇孝老是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
最美芳华,最美芳华,文娱社交,文娱,文娱,否,文娱,,,,最美芳华是银发经济领域行业服务商，为养老产业提供相关产品或服务。
月神,月神,食品营养,保健品,保健品,否,保健品,,,,月神是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
来邦科技,来邦科技,养老服务|消费品,适老化改造|智能硬件,智能硬件,否,智能硬件,,,,来邦科技是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。
柏老汇,柏老汇,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,柏老汇是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
柏老汇,柏老汇,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,柏老汇是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
栈道资本,栈道资本,金融保险,产业资本,产业资本,否,产业资本,,,,栈道资本是关注银发经济赛道的投资机构，在医疗健康和养老产业有投资布局。
栖城设计,栖城设计,养老服务|消费品,适老化改造|智能硬件,智能硬件,否,智能硬件,,,,栖城设计是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。
森梅医疗,森梅医疗,医疗健康,健康管理,健康管理,否,健康管理,,,,森梅医疗是健康养生品牌，为银发人群提供健康管理或养生保健产品和服务。
森美,森美,食品营养,保健品,保健品,否,保健品,,,,森美是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
楼上,楼上,食品营养,保健品,保健品,否,保健品,,,,楼上是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
正奇智能,正奇智能,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,正奇智能是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
正奇智能,正奇智能,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,正奇智能是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
每日的菌,每日的菌,食品营养,保健品,保健品,否,保健品,,,,每日的菌是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
永福康,永福康,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,永福康是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
永福康,永福康,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,永福康是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
江南米道,江南米道,食品营养,保健品,保健品,否,保健品,,,,江南米道是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
沐恒实业,沐恒实业,养老服务|消费品,适老化改造|智能硬件,智能硬件,否,智能硬件,,,,沐恒实业是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。
泰一健康,泰一健康,食品营养,保健品,保健品,否,保健品,,,,泰一健康是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
泰康安宁疗护,泰康安宁疗护,养老服务|医疗健康,专业护理|临终关怀|居家护理,居家护理,否,居家护理,,,,泰康安宁疗护是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
泰康安宁疗护,泰康安宁疗护,养老服务|医疗健康,专业护理|临终关怀|居家护理,专业护理,否,专业护理,,,,泰康安宁疗护是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
泰心康护,泰心康护,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,泰心康护是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
泰心康护,泰心康护,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,泰心康护是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
泽普医疗,泽普医疗,医疗健康|消费品,康复医疗|智能硬件,智能硬件,否,智能硬件,,,,泽普医疗是康复医疗品牌，提供老年康复训练、物理治疗等康复服务或设备。
深纳普思,深纳普思,医疗健康,健康管理,健康管理,否,健康管理,,,,深纳普思是健康养生品牌，为银发人群提供健康管理或养生保健产品和服务。
添康,添康,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,添康是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
添康,添康,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,添康是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
温州康宁,温州康宁,医疗健康|消费品,康复医疗|智能硬件,智能硬件,否,智能硬件,,,,温州康宁是康复医疗品牌，提供老年康复训练、物理治疗等康复服务或设备。
爱侬养老,爱侬养老,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,爱侬养老是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
爱侬养老,爱侬养老,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,爱侬养老是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
爱可声,爱可声,养老服务|消费品,助听器|智能硬件|适老化,适老化,否,适老化,,,,爱可声是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
爱可声,爱可声,养老服务|消费品,助听器|智能硬件|适老化,智能硬件,否,智能硬件,,,,爱可声是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
爱牵挂,爱牵挂,养老服务|消费品,适老化改造|智能硬件,智能硬件,否,智能硬件,,,,爱牵挂是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。
爱舒乐,爱舒乐,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,爱舒乐是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
爱舒乐,爱舒乐,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,爱舒乐是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
爱风尚,爱风尚,文娱社交,文娱|社交平台,文娱,否,文娱,,,,爱风尚是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
爱风尚,爱风尚,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,爱风尚是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
玖益,玖益,养老服务|消费品,助听器|智能硬件|适老化,适老化,否,适老化,,,,玖益是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
玖益,玖益,养老服务|消费品,助听器|智能硬件|适老化,智能硬件,否,智能硬件,,,,玖益是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
玛士撒拉,玛士撒拉,食品营养,保健品,保健品,否,保健品,,,,玛士撒拉是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
瑞光康泰,瑞光康泰,医疗健康,健康管理,健康管理,否,健康管理,,,,瑞光康泰是健康养生品牌，为银发人群提供健康管理或养生保健产品和服务。
瑞尔齿科,瑞尔齿科,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,瑞尔齿科是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
瑞尔齿科,瑞尔齿科,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,瑞尔齿科是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
瑞邦,瑞邦,食品营养,保健品,保健品,否,保健品,,,,瑞邦是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
百合康,百合康,食品营养,保健品,保健品,否,保健品,,,,百合康是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
百合生物,百合生物,食品营养,保健品,保健品,否,保健品,,,,百合生物是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
百善药业,百善药业,食品营养,保健品,保健品,否,保健品,,,,百善药业是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
百年红,百年红,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,百年红是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
百年红,百年红,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,百年红是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
皮皮熊,皮皮熊,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,皮皮熊是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
皮皮熊,皮皮熊,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,皮皮熊是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
盈康生命,盈康生命,医疗健康|消费品,康复医疗|智能硬件,智能硬件,否,智能硬件,,,,盈康生命是康复医疗品牌，提供老年康复训练、物理治疗等康复服务或设备。
益生康健,益生康健,食品营养,保健品,保健品,否,保健品,,,,益生康健是银发经济领域行业服务商，为养老产业提供相关产品或服务。
盛美诺,盛美诺,食品营养,保健品,保健品,否,保健品,,,,盛美诺是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
盛通养老,盛通养老,养老服务|消费品,适老化改造|智能硬件,智能硬件,否,智能硬件,,,,盛通养老是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。
知识矩阵,知识矩阵,食品营养,保健品,保健品,否,保健品,,,,知识矩阵是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
硅基仿生,硅基仿生,医疗健康,健康管理,健康管理,否,健康管理,,,,硅基仿生是健康养生品牌，为银发人群提供健康管理或养生保健产品和服务。
神探伍伍,神探伍伍,食品营养,保健品,保健品,否,保健品,,,,神探伍伍是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
祥和,祥和,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,祥和是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
祥和,祥和,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,祥和是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
票圈视频,票圈视频,文娱社交,文娱,文娱,否,文娱,,,,票圈视频是银发经济领域行业服务商，为养老产业提供相关产品或服务。
福东海,福东海,食品营养,保健品,保健品,否,保健品,,,,福东海是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
福仕得,福仕得,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,福仕得是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
福仕得,福仕得,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,福仕得是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
福佑,福佑,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,福佑是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
福佑,福佑,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,福佑是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
福寿家,福寿家,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,福寿家是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
福寿家,福寿家,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,福寿家是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
福康通,福康通,养老服务|消费品,适老化改造|智能硬件,智能硬件,否,智能硬件,,,,福康通是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。
立奇电子,立奇电子,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,立奇电子是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
立奇电子,立奇电子,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,立奇电子是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
粤嘉康,粤嘉康,食品营养,保健品,保健品,否,保健品,,,,粤嘉康是银发经济领域行业服务商，为养老产业提供相关产品或服务。
糖友饱饱,糖友饱饱,食品营养,保健品,保健品,否,保健品,,,,糖友饱饱是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
糖豆,糖豆,文娱社交,文娱|社交平台,文娱,否,文娱,,,,糖豆是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
糖豆,糖豆,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,糖豆是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
纽崔莱,纽崔莱,食品营养,保健品,保健品,否,保健品,,,,纽崔莱是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
维达,维达,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,维达是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
维达,维达,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,维达是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
绿瘦,绿瘦,食品营养,保健品,保健品,否,保健品,,,,绿瘦是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
美丽岛,美丽岛,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,美丽岛是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
美丽岛,美丽岛,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,美丽岛是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
美呀植牙,美呀植牙,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,美呀植牙是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
美呀植牙,美呀植牙,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,美呀植牙是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
美瑞德,美瑞德,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,美瑞德是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
美瑞德,美瑞德,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,美瑞德是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
美邸中国,美邸中国,养老服务|医疗健康,养老机构|认知症,认知症,否,认知症,,,,美邸（Mederith）是日本知名养老服务品牌的中国分支，运营高端认知症照护机构，引入日式精细化照护理念。
老友记,老友记,养老服务,专业护理|居家护理,居家护理,否,居家护理,,,,老友记是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
老友记,老友记,养老服务,专业护理|居家护理,专业护理,否,专业护理,,,,老友记是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。
老年人才网,老年人才网,文娱社交,文娱|社交平台,文娱,否,文娱,,,,老年人才网是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
老年人才网,老年人才网,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,老年人才网是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
老来寿,老来寿,食品营养,保健品,保健品,否,保健品,,,,老来寿是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
老柚,老柚,文娱社交,文娱|社交平台,文娱,否,文娱,,,,老柚是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
老柚,老柚,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,老柚是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
联谛信息,联谛信息,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,联谛信息是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
联谛信息,联谛信息,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,联谛信息是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
肌肉科技,肌肉科技,食品营养,保健品,保健品,否,保健品,,,,肌肉科技是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
脑动极光,脑动极光,养老服务|医疗健康,养老机构|认知症,认知症,否,认知症,,,,脑动极光（NeuraLum）是数字认知评估与训练平台，用AI技术为老年人提供认知衰退筛查和干预方案。
臻牧,臻牧,食品营养,保健品,保健品,否,保健品,,,,臻牧是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
臻行科技,臻行科技,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,臻行科技是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
臻行科技,臻行科技,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,臻行科技是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
舒莱适,舒莱适,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,舒莱适是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
舒莱适,舒莱适,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,舒莱适是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
舞动时代,舞动时代,文娱社交,文娱|社交平台,文娱,否,文娱,,,,舞动时代是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
舞动时代,舞动时代,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,舞动时代是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
艾兰得,艾兰得,食品营养,保健品,保健品,否,保健品,,,,艾兰得是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
艾益生,艾益生,医疗健康,健康管理,健康管理,否,健康管理,,,,艾益生是健康养生品牌，为银发人群提供健康管理或养生保健产品和服务。
艾艾贴,艾艾贴,医疗健康,健康管理,健康管理,否,健康管理,,,,艾艾贴是健康养生品牌，为银发人群提供健康管理或养生保健产品和服务。
苏立康,苏立康,食品营养,保健品,保健品,否,保健品,,,,苏立康是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
若创科技,若创科技,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,若创科技是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
若创科技,若创科技,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,若创科技是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
英智,英智,医疗健康|消费品,康复医疗|智能硬件,智能硬件,否,智能硬件,,,,英智是康复医疗品牌，提供老年康复训练、物理治疗等康复服务或设备。
英洛华,英洛华,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,英洛华是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
英洛华,英洛华,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,英洛华是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
莎浓羊奶,莎浓羊奶,食品营养,保健品,保健品,否,保健品,,,,莎浓羊奶是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
蒙佩尔兰,蒙佩尔兰,食品营养,保健品,保健品,否,保健品,,,,蒙佩尔兰是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
蓝力,蓝力,食品营养,保健品,保健品,否,保健品,,,,蓝力是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
虚之实,虚之实,养老服务|医疗健康,养老机构|认知症,认知症,否,认知症,,,,虚之实是VR康复训练品牌，用虚拟现实技术为老年认知衰退和康复训练提供方案。
记忆家,记忆家,养老服务|医疗健康,养老机构|认知症,认知症,否,认知症,,,,记忆家是专注认知症老人照护的服务品牌，提供认知症家庭支持、日间照料和专业照护服务。
谊安医疗,谊安医疗,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,谊安医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
谊安医疗,谊安医疗,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,谊安医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
豪悦,豪悦,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,豪悦是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
豪悦,豪悦,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,豪悦是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
赋爱科技,赋爱科技,养老服务|医疗健康,养老机构|认知症|适老化,认知症,否,认知症,,,,赋爱科技是养老科技品牌，专注智能适老化产品和养老信息化方案。
赋爱科技,赋爱科技,养老服务|医疗健康,养老机构|认知症|适老化,适老化,否,适老化,,,,赋爱科技是养老科技品牌，专注智能适老化产品和养老信息化方案。
足步医疗,足步医疗,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,足步医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
足步医疗,足步医疗,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,足步医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
达旦无极,达旦无极,养老服务|医疗健康|消费品,养老机构|智能硬件|认知症,认知症,否,认知症,,,,达旦无极是智能养老设备品牌，研发老年人安全监测和健康追踪产品。
达旦无极,达旦无极,养老服务|医疗健康|消费品,养老机构|智能硬件|认知症,智能硬件,否,智能硬件,,,,达旦无极是智能养老设备品牌，研发老年人安全监测和健康追踪产品。
达晨财智,达晨财智,金融保险,产业资本,产业资本,否,产业资本,,,,达晨财智是国内领先的本土创投机构，管理资产规模超350亿元，在医疗健康和养老产业有多个投资布局。
达风投资,达风投资,金融保险,产业资本,产业资本,否,产业资本,,,,达风投资是关注银发经济赛道的投资机构，在医疗健康和养老产业有投资布局。
迈德斯特,迈德斯特,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,迈德斯特是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
迈德斯特,迈德斯特,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,迈德斯特是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
远方好物,远方好物,食品营养,保健品,保健品,否,保健品,,,,远方好物是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。
退休俱乐部,退休俱乐部,文娱社交,文娱|社交平台,文娱,否,文娱,,,,退休俱乐部是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
退休俱乐部,退休俱乐部,文娱社交,文娱|社交平台,社交平台,否,社交平台,,,,退休俱乐部是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
通策医疗,通策医疗,养老服务|消费品,智能硬件|适老化,适老化,否,适老化,,,,通策医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
通策医疗,通策医疗,养老服务|消费品,智能硬件|适老化,智能硬件,否,智能硬件,,,,通策医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。
遇禾规划,遇禾规划,养老服务|消费品,适老化改造|智能硬件,智能硬件,否,智能硬件,,,,遇禾规划是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。
遇见美好,遇见美好,文娱社交,文娱|社交平台,文娱,否,文娱,,,,遇见美好是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。
