serial,name,tag_l1,tag_l2,desc_len,description,desc_cn_len,rv,sig,total,reco_len,is_info_insufficient
#1373,北京寿山福海养老集团,养老服务,养老机构,46,公司在北京运营3家5星级养老机构，床位1800张，入住率90%以上，具有强大的养老运营能力。,7,39.6,0.55,5.9,68,0
#1619,浙江云澎科技有限公司,康复辅具,智能硬件,46,浙江云澎科技有限公司：AI 无创健康监测戒指。面向银发人群及相关养老服务机构提供产品与服务。,46,,,,112,0
#1635,五指山仁商基业有限公司,文娱社交,旅游,46,五指山仁商基业有限公司：海南雨林康养旅居基地。面向银发人群及相关养老服务机构提供产品与服务。,46,,,,118,0
#1638,湖南友阿农业有限公司,文娱社交,旅游,46,湖南友阿农业有限公司：农文旅康养闲置资产盘活。面向银发人群及相关养老服务机构提供产品与服务。,46,,,,92,0
#1670,北京中源翊博生物科技有限公司,康复辅具,陪伴机器人,46,北京中源翊博生物科技有限公司：养老陪护机器人。面向银发人群及相关养老服务机构提供产品与服务。,46,,,,67,0
#1726,洛阳腾韵阁信息科技有限公司,文娱社交,兴趣社群,46,洛阳腾韵阁信息科技有限公司：国画直播私域团队。面向银发人群及相关养老服务机构提供产品与服务。,46,,,,75,0
#1734,浙江金颐文化创意有限公司,文娱社交,兴趣社群/旅游,46,浙江金颐文化创意有限公司：高端退休私域俱乐部。面向银发人群及相关养老服务机构提供产品与服务。,46,,,,131,0
#1756,杭州静博士,消费品/文娱社交,个人护理/兴趣社群,46,杭州静博士：墨墨告白防脱养发系列。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,46,,,,65,0
#1776,慧择保险经纪,金融保险,保险/保险经纪,46,慧择保险经纪：500 万 + 中老年保险用户。面向银发人群及相关养老服务机构提供产品与服务。,46,,,,76,0
#0025,清雷,康复辅具,跌倒监测,47,毫米波雷达健康监测企业，通过非接触式传感器实现跌倒检测、睡眠监测、生命体征监测等智慧养老功能。,119,42.7,0.55,6.7,82,0
#0054,VTN,消费品,电商,47,VTN是澳大利亚高端健康品牌购物平台，聚焦营养保健品、护肤品等领域，在银发健康消费市场有布局。,123,30.7,0.55,4.5,93,0
#0055,WonderLab,食品营养,功能性食品,47,WonderLab是中国新锐营养品牌，聚焦肠道健康、代餐等产品，在银发健康营养市场有一定布局。,130,30.7,0.55,4.5,70,0
#0066,东方华康,养老服务,康复医疗,47,东方华康是康复医疗集团，运营多家康复医院和护理院，提供术后康复、老年慢病管理、失能照护等服务。,136,37.6,0.55,5.6,83,0
#0078,云货优选,消费品,电商/零售,47,云货优选是社交电商平台，通过社交裂变模式销售品牌折扣商品，在中老年女性消费群体中有较高渗透率。,126,36.6,0.55,5.5,79,0
#0090,优复门诊,养老服务/文娱社交,康复医疗/健身,47,优复门诊是康复医疗连锁机构，提供运动康复、术后康复、老年慢病康复等服务，在上海等一线城市运营。,118,48.7,0.55,7.3,77,0
#0105,光大养老,养老服务,养老机构,47,光大养老是光大集团旗下养老产业平台，运营多家养老机构和社区养老服务中心，是央企背景养老运营商。,105,42.7,0.55,6.3,93,0
#0130,和君康养,行业服务,养老咨询,47,和君康养是和君咨询旗下康养产业咨询品牌，为养老地产、康养小镇等项目提供规划咨询和运营管理服务。,84,36.6,0.55,5.5,94,0
#0963,IO Health Technologies,养老服务,安宁疗护/护理协调,47,AI驱动的居家医疗/临终关怀合规平台，为居家医疗和临终关怀机构提供AI平台，确保行政合规和质量,85,49.6,0.55,7.5,95,0
#1134,Gladys,行业服务,养老软件,47,英国AI居家护理技术平台，旨在通过技术改善英国破碎的居家照护体系，优化护理人员调度与服务质量。,85,49.6,0.55,7.5,105,0
#1162,LTC Properties,投资机构,养老REIT,47,专注养老社区与护理院的 REIT，纽交所代码 LTC，成立于 1992 年，以组合多元化著称。,108,56.6,6.55,11.6,109,0
#1177,Doro,康复辅具,紧急呼叫,47,瑞典斯德哥尔摩证交所上市公司，专注老年人简易手机、紧急呼叫与远程看护(telecare)设备。,150,64.7,6.55,12.9,76,0
#1184,Uniper,文娱社交,兴趣社群/陪伴服务,47,面向长者的虚拟互动平台(2015)，提供视频问诊、直播活动与录播课程以对抗孤独、促进身心参与。,118,57.1,0.55,8.4,91,0
#1214,Audicus,康复辅具,助听器,47,直接面向消费者的在线助听器公司，提供平价、可自调的助听器与听力测试，降低老年听力障碍干预门槛。,14,39.6,0.55,5.9,73,0
#1223,Permobil,康复辅具,轮椅,47,全球动力轮椅与坐姿支撑系统龙头（Investor AB体系），深度服务重度行动障碍与老年人群。,6,39.6,0.55,5.9,123,0
#1226,Ekso Bionics,康复辅具,外骨骼,47,上市外骨骼机器人公司（NASDAQ:EKSO），为卒中与神经损伤患者提供临床级步态康复外骨骼。,15,41.6,0.55,6.2,125,0
#1291,Temi,文娱社交,陪伴服务,47,通用室内服务机器人（以色列Roboteam），兼具移动视频陪伴与智能助手功能，可用于老人居家。,160,45.6,0.55,7.0,80,0
#1296,乐心医疗,康复辅具,可穿戴监测,47,国内家用医疗与健康穿戴上市公司（深交所），产品含血压计、智能手环、体脂秤等，布局慢病健康监测。,19,41.6,0.55,6.2,114,0
#1314,Watcherr,康复辅具/养老服务/消费品,跌倒监测/远程医疗/智能硬件,47,养老远程监测公司，通过传感/AI监测老人活动与安全。成立于2016年；累计融资约890万美元。,144,45.7,1.55,7.5,80,0
#1315,Cuidum,养老服务,护工平台/居家护理,47,西班牙居家照护平台，连接家庭与照护资源。成立于2015年；累计融资约190万欧元（二次市场）。,143,40.7,1.55,6.7,73,0
#1326,脂代科技,食品营养,功能性食品,47,甘油二酯油创新企业，产品主打健康油脂，销量达百万瓶、中老年顾客占比约80%；近期获超亿元融资。,93,53.1,0.55,7.7,83,0
#1464,长沙市芙蓉区后稷后食品商行,食品营养,养老膳食,47,自有品牌～专为中老年群体甄选五谷九粮及性价比高的大健康产品。为连锁养老机构提供全品类养生食品。,7,39.6,0.55,5.9,118,0
#1544,武汉金柏康医疗科技有限公司,养老服务,适老化,47,武汉金柏康医疗科技有限公司：适老化工程施工企业。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,97,0
#1581,成都锦欣康养产业集团有限公司,养老服务,居家护理,47,成都锦欣康养产业集团有限公司：全产业链康养集团。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,105,0
#1600,上海超宇教育科技有限公司,文娱社交,教育,47,上海超宇教育科技有限公司：老年智慧康养课程内容。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,93,0
#1626,睿墨智能科技（上海）有限公司,康复辅具,智能硬件,47,睿墨智能科技（上海）有限公司：跌倒监测传感设备。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,98,0
#1627,广东启慧科技发展有限公司,康复辅具,智能硬件,47,广东启慧科技发展有限公司：适老化软硬件检测设备。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,101,0
#1628,精华隆科技,康复辅具,智能硬件,47,精华隆科技：养老智能传感报警器。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,47,,,,134,0
#1639,广东弘明医养度假发展有限公司,文娱社交,旅游,47,广东弘明医养度假发展有限公司：综合医养度假园区。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,100,0
#1714,深圳市吉吉鑫实业有限公司,文娱社交,兴趣社群,47,深圳市吉吉鑫实业有限公司：线下中老年门店综合体。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,101,0
#1731,潮龄俱乐部,文娱社交,兴趣社群,47,潮龄俱乐部：中老年文旅服务平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,47,,,,88,0
#1736,英杰之旅,文娱社交,旅游,47,英杰之旅：英国熟龄游学定制服务。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,47,,,,84,0
#1790,长沙于创健康咨询有限公司,文娱社交,旅游,47,"长沙于创健康咨询有限公司：寻找流量团队, 合作。面向银发人群及相关养老服务机构提供产品与服务。",47,,,,127,0
#1800,监利裕融电子商务有限公司,文娱社交,旅游,47,监利裕融电子商务有限公司：可提供客资，合作共赢。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,128,0
#1814,北京澜岳汇贸易有限公司,消费品,营养食品,47,北京澜岳汇贸易有限公司：区别市场化的俱乐部项目。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,85,0
#1837,未来电视,行业服务,行业媒体,47,未来电视：胡亮网电视企业，能覆盖大量的老年用户。面向银发人群及相关养老服务机构提供产品与服务。,47,,,,136,0
#0060,一龄集团,养老服务/文娱社交,CCRC/旅游,48,一龄集团是大健康产业集团，布局生命养护、健康管理、医疗旅游等业务，在银发健康管理领域有深度布局。,137,41.6,0.55,6.4,90,0
#0065,世道,康复辅具,护理床,48,世道（SHIDO）是智能护理床品牌，专注于多功能电动护理床研发制造，产品覆盖养老机构和居家场景。,136,43.7,0.55,6.5,83,0
#0067,东方购物,消费品,电商/零售,48,东方购物是上海文广旗下电视购物平台，在中老年消费市场占据重要地位，是银发电视购物的主要渠道之一。,140,41.6,0.55,6.3,93,0
#0342,达晨财智,投资机构,产业基金,48,达晨财智是国内领先的本土创投机构，管理资产规模超350亿元，在医疗健康和养老产业有多个投资布局。,6,42.7,0.55,6.4,97,0
#0463,Blooming Health,文娱社交,社区,48,21个州700+社区项目，连接医疗保健提供者和社会服务组织，为老年人提供交通、送餐、社交等支持。,107,50.6,3.55,9.3,88,0
#0471,Homethrive,养老服务,照护支持,48,对护理员的情感、专业、工作、福利等方面提供支持。客户来自健康计划、企业、个人。成立于2018年。,127,57.1,4.05,10.5,71,0
#0477,Sprinter Health,养老服务,居家医疗,48,提供上门移动医疗服务（抽血、生命体征、医疗测试），主要支付方Medicare/Medicaid。,145,61.6,4.55,11.3,86,0
#0596,GE Healthcare,康复辅具,医疗器械,48,医疗科技企业，2009年收购居家养老技术企业Living Independently Group,15,38.7,0.55,5.9,82,0
#1132,Lizzy Care,养老服务,居家护理,48,美国家庭痴呆症居家照护协调平台，连接专业照护团队、家属与资源，提供远程照护协调与个性化健康教育。,119,46.2,1.05,7.3,82,0
#1173,Unity Biotechnology,消费品,长寿抗衰,48,衰老细胞清除(senolytics)疗法公司，纳斯达克代码 UBX，聚焦眼科与肌肉骨骼衰老疾病。,132,55.6,6.55,11.8,92,0
#1268,Butlr,康复辅具,睡眠监测,48,用热传感（thermal）实现非接触式存在/跌倒/睡眠监测的AI平台，保护隐私，适用于养老场景。,81,49.6,0.55,7.5,86,0
#1538,上海原座标空间设计有限公司,养老服务,适老化,48,上海原座标空间设计有限公司：养老建筑室内改造设计。面向银发人群及相关养老服务机构提供产品与服务。,48,,,,114,0
#1542,福满堂适老化改造服务平台,养老服务,适老化,48,福满堂适老化改造服务平台：一站式适老化改造供应链。面向银发人群及相关养老服务机构提供产品与服务。,48,,,,95,0
#1552,铭博科技,养老服务,养老信息平台,48,铭博科技：适老化改造项目管理系统。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,48,,,,99,0
#1588,银康养老,养老服务,居家护理,48,银康养老：市场化社区居家养老模式输出。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,48,,,,122,0
#1593,前海人寿深圳分公司,金融保险,保险,48,前海人寿深圳分公司：保险 + 康养社区 + 医院。面向银发人群及相关养老服务机构提供产品与服务。,48,,,,105,0
#1653,扬子集团,消费品,智能家居,48,扬子集团：水暖毯、足浴盆适老加热家电。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,48,,,,71,0
#1657,苏州医疗用品厂有限公司,康复辅具,康复器械,48,苏州医疗用品厂有限公司：中医理疗器械。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,48,,,,79,0
#1662,澳中医疗设备有限公司,康复辅具,康复器械,48,澳中医疗设备有限公司：低频睡眠治疗仪。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,48,,,,72,0
#1663,聆晟科技（广东）有限公司,康复辅具,助听器,48,聆晟科技（广东）有限公司：数字助听器。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,48,,,,64,0
#1791,中青旅新域（北京）旅游有限公司,文娱社交,旅游,48,中青旅新域（北京）旅游有限公司：需要银发族群资源。面向银发人群及相关养老服务机构提供产品与服务。,48,,,,90,0
#0047,AID上海老博会,行业服务,行业媒体,49,中国国际老龄产业博览会，每年在上海举办，汇聚全球养老产品与服务供应商，是国内最大养老产业展会之一。,134,32.6,0.55,4.8,110,0
#0073,乐成养老,养老服务,康养地产,49,乐成养老是北京乐成集团旗下养老产业品牌，运营恭和苑等高端养老社区，是国内最早的民营养老运营商之一。,129,34.6,0.55,5.3,105,0
#0466,Cera Care,养老服务,居家护理,49,欧洲最大数字优先家庭医疗保健服务提供商。90%收入来自NHS和地方政府合同。过去三年增长100倍。,144,62.6,5.55,12.1,127,0
#0478,Sword Health,行业服务,AI医疗,49,全球约17亿人患MSK疾病。Sword Health从背部/关节疼痛扩展到女性骨盆健康。运用AI。,168,71.2,6.05,13.6,133,0
#0968,LambdaVision,康复辅具,视觉辅助,49,人工视网膜，用于治疗年龄相关性黄斑变性(AMD)等老年致盲性疾病。利用国际空间站微重力环境进行制造,147,37.6,1.55,6.5,98,0
#1125,Sodalis Senior Living,养老服务,认知症,49,个性化辅助生活与记忆照护运营商，旗下23个社区覆盖德州、佛州、乔治亚，含早期痴呆Bridges项目,17,32.6,0.55,5.0,87,0
#1200,傲意科技,行业服务,AI医疗,49,脑机接口（BCI）与智能神经康复企业，涉足人体感知缺失康复、智能神经康复训练，与多家医疗机构合作。,14,41.6,0.55,6.2,106,0
#1288,钛米机器人,养老服务,养老机构,49,医疗服务机器人公司（TMiRob），产品涵盖消毒、配送、巡检等机器人，可向养老机构与医养场景延伸。,110,45.6,0.55,7.0,180,0
#1302,SCAN Health Plan,金融保险,保险,49,美国大型非营利Medicare Advantage健康计划，专注老年人群，提供MA与健康计划服务。,26,41.6,0.55,6.4,86,0
#1320,Warren,金融保险,金融理财,49,比利时职场养老金平台兼财务教练服务，弥补补充养老金体系短板。2026年6月完成1000万欧元融资。,128,56.2,5.05,10.9,113,0
#1355,Silversurfers,文娱社交,社区,49,英国最大50+在线社区，30万+注册、社媒100万+关注，UGC活力老人内容（论坛/展示/交友）。,9,41.6,0.55,6.2,140,0
#1554,广州立恒信息科技有限公司,养老服务,养老信息平台,49,广州立恒信息科技有限公司：医养一体化软硬件解决方案。面向银发人群及相关养老服务机构提供产品与服务。,49,,,,75,0
#1584,元氏县福缘养老服务有限公司,养老服务,养老机构,49,元氏县福缘养老服务有限公司：500 张在建养老机构。面向银发人群及相关养老服务机构提供产品与服务。,49,,,,106,0
#1590,南京涵田春之谷品牌运营管理有限公司,养老服务,居家护理,49,南京涵田春之谷品牌运营管理有限公司：文旅养老综合体。面向银发人群及相关养老服务机构提供产品与服务。,49,,,,95,0
#1725,合肥柏慕年美育学院,文娱社交,教育,49,合肥柏慕年美育学院：5 万 + 中老年艺术教育粉丝。面向银发人群及相关养老服务机构提供产品与服务。,49,,,,82,0
#1769,东原仁知服务集团,养老服务/文娱社交,居家护理/兴趣社群,49,东原仁知服务集团：居家上门养老服务。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,49,,,,69,0
#0016,小年糕,文娱社交,短视频,50,中老年短视频和影集制作应用，微信生态内头部小程序，服务数亿用户，是银发群体最常用的内容创作工具之一。,123,49.6,0.55,7.3,80,0
#0100,倍轻松,消费品,个人护理,50,倍轻松是智能健康硬件品牌，专注眼部、颈部、头部按摩器研发制造，在银发健康消费市场有广泛布局，已上市。,126,61.6,6.55,12.4,189,0
#0315,脑动极光,养老服务,认知训练/认知筛查,50,脑动极光（NeuraLum）是数字认知评估与训练平台，用AI技术为老年人提供认知衰退筛查和干预方案。,12,42.7,0.55,6.6,85,0
#0941,DispatchHealth,养老服务,居家医疗,50,提供上门的紧急和急性护理服务（移动急诊室/居家医院模式），老年人是核心受益者。总融资额约7.3亿美元,15,36.6,0.55,5.5,98,0
#0956,Kenbi,养老服务,家政/居家护理,50,提供家庭护理、家庭健康、家政服务、亲属支持、陪伴等服务。2021.12天使轮后战略投资2664万美元,14,36.6,0.55,5.5,103,0
#0974,Eight Sleep,消费品/康复辅具,更年期/睡眠监测,50,智能床系统(消费品)。开发AI睡眠代理；计划进军医疗领域(更年期睡眠、睡眠呼吸暂停)，寻求FDA批准,142,55.6,4.55,10.3,78,0
#1158,Option Care Health,消费品,药品配送,50,美国最大独立居家输液与专科药房服务商，纳斯达克代码 OPCH，为慢病与复杂用药患者提供上门输液治疗。,138,59.6,6.55,11.9,84,0
#1234,WellSky,行业服务,养老软件,50,post-acute与家庭护理领域头部SaaS与数据分析平台，连接机构、支付方与家庭，优化照护交付。,87,43.7,0.55,6.4,107,0
#1303,翔宇医疗,养老服务,养老机构,50,国内康复医疗器械上市公司（上交所），产品涵盖康复评定、训练与治疗设备，广泛服务于老年康复与养老机构。,14,41.6,0.55,6.2,71,0
#1328,华康岛,消费品,智能硬件,50,安徽华康岛科技有限公司旗下品牌，专注适老化改造，以'八心八养'体系提供居家适老化空间与智能硬件方案。,9,41.6,0.55,6.2,79,0
#1329,伊维养老,消费品,智能硬件,50,辽宁厚嘉科技有限公司旗下品牌，深耕适老化智能硬件与物理空间改造垂直赛道，强调'适老细节'的产品逻辑。,7,41.6,0.55,6.2,80,0
#1489,禾贞健康科技（河北）有限公司,金融保险/康复辅具,长护险/医疗器械,50,药械产品端2 医保康复养老三方服务3 地方旅投 国控项目设计 4 长护险落地服务5 商业保险创新支付,5,41.6,0.55,6.4,129,0
#1573,济南颐悦聚信息科技有限公司,养老服务,居家护理,50,济南颐悦聚信息科技有限公司：中老年视频号私域流量矩阵。面向银发人群及相关养老服务机构提供产品与服务。,50,,,,91,0
#1603,上海怡养餐饮,养老服务,养老膳食,50,上海怡养餐饮：三甲医院、养老院老年健康餐。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,107,0
#1614,上海叁联人科技有限公司,康复辅具,智能硬件,50,上海叁联人科技有限公司：AI 助行外骨骼。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,108,0
#1616,上海乐活元医学科技有限公司,康复辅具,智能硬件,50,上海乐活元医学科技有限公司：准医疗级 AI 健康手表。面向银发人群及相关养老服务机构提供产品与服务。,50,,,,86,0
#1631,深圳华旗科技有限公司,康复辅具,智能硬件,50,深圳华旗科技有限公司：AI 康养智能手表。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,125,0
#1645,优乐步康复器材（昆山）有限公司,康复辅具,护理床,50,优乐步康复器材（昆山）有限公司：智能出行辅具、助行器。面向银发人群及相关养老服务机构提供产品与服务。,50,,,,83,0
#1741,山西新华国旅有限公司,文娱社交,旅游,50,山西新华国旅有限公司：中老年旅居线路产品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,79,0
#1747,上海夕昱商贸有限公司,消费品/文娱社交,个人护理/兴趣社群,50,上海夕昱商贸有限公司：中老年功效个护产品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,66,0
#1754,杭州欧诗漫珠宝,消费品/文娱社交,美妆护肤/兴趣社群,50,杭州欧诗漫珠宝：珍珠护肤、珠宝银发产品线。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,65,0
#1768,首慈康健养老集团,养老服务/文娱社交,居家护理/兴趣社群,50,首慈康健养老集团：综合社区养老运营服务商。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,68,0
#1775,江苏贤德居养老产业有限公司,养老服务/文娱社交,养老机构/兴趣社群,50,江苏贤德居养老产业有限公司：线下养老机构。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,71,0
#1777,南京天一智慧养老,行业服务/文娱社交,养老软件/兴趣社群,50,南京天一智慧养老：长护险配套医院、陪诊、老年大学资源。面向银发人群及相关养老服务机构提供产品与服务。,50,,,,54,0
#1781,深圳市琛源供应链,食品营养/文娱社交,营养食品/兴趣社群,50,深圳市琛源供应链：控糖降糖食品、检测设备。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,69,0
#1786,杭州飞羊生物科技有限公司,消费品,智能家居,50,杭州飞羊生物科技有限公司：智能眼部护理仪。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,97,0
#1787,江苏堂皇集团有限公司,消费品,智能家居,50,江苏堂皇集团有限公司：银发功能健康纺织品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,50,,,,90,0
#1838,上海锣钹信息科技有限公司,行业服务,,50,上海锣钹信息科技有限公司：银发线上艺术教育、线下社团。面向银发人群及相关养老服务机构提供产品与服务。,50,,,,180,0
#0051,ITH康养家,行业服务,资讯门户,51,ITH康养家是智慧康养产业媒体平台，聚焦养老科技、智慧康养解决方案，提供行业资讯、企业访谈和产业研究。,130,28.7,0.55,4.3,110,0
#0053,SIC保利老博会,行业服务,行业媒体,51,保利国际老博会（SIC），由保利集团主办，聚焦养老产业全链条，包括养老地产、康养设备、养老服务等领域。,119,29.6,0.55,4.4,77,0
#0091,优必选,康复辅具,人形机器人,51,优必选科技是人形机器人和智能机器人研发商，在养老陪护机器人、康复训练机器人领域有布局，已在港交所上市。,124,69.7,6.55,13.8,109,0
#0098,依瑞德,康复辅具,康复器械,51,依瑞德是医疗设备品牌，专注经颅磁刺激（TMS）等神经调控设备研发，在老年抑郁、认知障碍治疗领域有应用。,112,41.6,0.55,6.4,86,0
#0950,Aveanna Healthcare,养老服务,安宁疗护,51,美国家庭健康、临终关怀服务提供商，主要业务还包括儿科治疗、个人护理等。2021年上市融资4.59亿美元,149,60.6,6.55,12.3,83,0
#1206,中科华意,养老服务,认知训练/认知筛查,51,以无创神经调控为核心技术，基于无创电刺激脑机接口控制方法，提供多参数脑认知障碍检测与神经反馈运动训练。,14,41.6,0.55,6.2,80,0
#1244,CareMax,金融保险/养老服务,保险/慢病管理,51,为Medicare受益人与复杂慢病人群提供综合医疗与养老关怀服务的上市公司（NASDAQ:CMAX）。,19,41.6,0.55,6.4,88,0
#1371,山西尧望旅行社有限公司,文娱社交,旅游,51,母公司和省文旅厅战略合作，银发客户精品小包团，定制团为主，5人团体，年营收预估500万，毛利率20%。,5,41.6,0.55,6.2,108,0
#1498,深圳市垣通泰科技有限公司,养老服务,适老化,51,"针对适老化改造盈利系统和方案
健康方案及盈利方案提供方
全套热疗及康养系统搭建 成熟样板店（盈利3年）",6,39.6,0.55,5.9,70,0
#1546,乐宜适老化健康科技（江苏）有限公司,养老服务,适老化,51,乐宜适老化健康科技（江苏）有限公司：全屋适老化改造工程。面向银发人群及相关养老服务机构提供产品与服务。,51,,,,89,0
#1551,深圳市升质科技有限公司,养老服务,养老信息平台,51,深圳市升质科技有限公司：居家养老全闭环系统。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,51,,,,90,0
#1568,椿熙堂（安享）,养老服务,养老机构,51,椿熙堂（安享）：400 + 社区活动中心、10 家机构。面向银发人群及相关养老服务机构提供产品与服务。,51,,,,88,0
#1598,扬子江药业集团有限公司,食品营养,营养食品,51,扬子江药业集团有限公司：药企健康食品全渠道。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,51,,,,94,0
#1632,晋江足迹智能科技有限公司,康复辅具,智能硬件,51,晋江足迹智能科技有限公司：银发智能穿戴设备。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,51,,,,94,0
#1659,博博科技（苏州）有限公司,康复辅具,康复器械,51,博博科技（苏州）有限公司：智能康养床垫。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,51,,,,84,0
#1686,禾乐健护鞋服,消费品,服装鞋帽,51,禾乐健护鞋服：中老年鞋履、服饰、配件全品类。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,51,,,,68,0
#1711,喜悦盛年,文娱社交,教育,51,喜悦盛年：39 城 151 家老年教育校区。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,51,,,,126,0
#1759,浦康养老服务促进中心,消费品/文娱社交,个人护理/兴趣社群,51,浦康养老服务促进中心：社区养老服务平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,51,,,,57,0
#1780,南通市数盾保联科技,行业服务/文娱社交,养老软件/兴趣社群,51,南通市数盾保联科技：长护险、健康险系统服务。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,51,,,,70,0
#1806,均瑶润盈生物科技（上海）有限公司,消费品,营养食品,51,均瑶润盈生物科技（上海）有限公司：国内标杆益生菌供应链。面向银发人群及相关养老服务机构提供产品与服务。,51,,,,106,0
#1821,化州鼎锋生物科技有限公司,行业服务,,51,化州鼎锋生物科技有限公司：中国化橘红博览馆。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,51,,,,82,0
#0052,OKCS,养老服务,护工培训,52,OKCS（居家康养服务平台），提供居家养老服务标准化解决方案，涵盖护理员培训、服务派单、质量管理等环节。,124,37.7,0.55,5.7,93,0
#0383,鼎植口腔,养老服务,诊所,52,鼎植口腔是国内种植牙专科连锁口腔机构，主打疑难种植（穿颧穿翼）与口腔综合治疗，以直营诊所模式在多地扩张。,25,36.6,0.55,5.5,77,0
#0946,Encompass Health,养老服务,康复医疗,52,上市公司(EHC)，数十亿营收。远程康复、数据分析优化流程，成熟连锁医疗服务体系。海量老年康复/居家患者,143,70.6,6.55,13.8,128,0
#1149,PillSafe,康复辅具,智能药盒/用药提醒,52,无线用药依从性系统公司，2026年3月获种子轮融资，瞄准庞大的非依从性用药市场，提供智能药盒+远程监护。,18,39.6,0.55,5.9,99,0
#1202,松延动力,康复辅具,人形机器人,52,通用人形机器人与具身智能公司，曾与顶流网红合跳“斧头舞”出圈，获英诺天使等机构投资，探索家庭陪护等场景。,104,45.6,0.55,7.0,74,0
#1207,阶梯医疗,行业服务,AI医疗,52,植入式脑机接口（BCI）公司，研发用于神经系统疾病治疗与监测的植入电极系统，涉足神经疾病病灶监测及调控。,15,41.6,0.55,6.2,72,0
#1218,Earlens,康复辅具,助听器,52,采用光传导（light-based）技术的差异化助听器公司，解决传统气导助听器音质瓶颈，面向中重度听损。,20,39.6,0.55,5.9,80,0
#1225,ReWalk Robotics,康复辅具,外骨骼,52,上市外骨骼机器人公司（NASDAQ:RWLK），为脊髓损伤与卒中后行走障碍提供医用/家用外骨骼康复系统。,17,41.6,0.55,6.2,79,0
#1304,伟思医疗,康复辅具,康复器械,52,国内康复医疗器械上市公司（上交所），聚焦电刺激、磁刺激与康复机器人，服务于神经与盆底康复等老年相关场景。,14,41.6,0.55,6.2,86,0
#1545,河南工之坊科技集团有限公司,养老服务,适老化,52,河南工之坊科技集团有限公司：地面防滑工程龙头。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,52,,,,97,0
#1548,颐享时代,养老服务,养老信息平台,52,颐享时代：社区一站式智慧养老 SaaS 平台。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,52,,,,95,0
#1561,湖州市机汽猫科技有限公司,行业服务,养老信息平台,52,湖州市机汽猫科技有限公司：2000 + 医院精准银发流量。面向银发人群及相关养老服务机构提供产品与服务。,52,,,,93,0
#1572,中信养老,养老服务,养老机构,52,中信养老：上海杭州 9 家中高端养老机构。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,52,,,,97,0
#1586,福寿康南京城市公司,养老服务,居家护理,52,福寿康南京城市公司：居家照护服务交付平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,52,,,,112,0
#1596,长春市大圣文化传播有限公司,食品营养,营养食品,52,长春市大圣文化传播有限公司：养生保健食品源头。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,52,,,,112,0
