name,name_cn,tag_l1,tag_l2,business_tags_customer,business_tags_role,business_tags_channel,国家地区,简介,原分类category_l1,原分类category_l2
芬香电商,芬香电商,渠道零售,电商,B2C,平台,线上,国内,芬香电商是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
苏立康,苏立康,食品营养,保健品,B2C,制造商(消费品),,国内,苏立康是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
若创科技,若创科技,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,若创科技是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
英智,英智,医疗健康;消费品,康复医疗;智能硬件,B2B+B2C,制造商(硬件/设备),,国内,英智是康复医疗品牌，提供老年康复训练、物理治疗等康复服务或设备。,康复设备,运动康复
英洛华,英洛华,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,英洛华是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
莎浓羊奶,莎浓羊奶,食品营养,保健品,B2C,制造商(消费品),,国内,莎浓羊奶是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
蒙佩尔兰,蒙佩尔兰,食品营养,保健品,B2C,制造商(消费品),,国内,蒙佩尔兰是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
蓝力,蓝力,食品营养,保健品,B2C,制造商(消费品),,国内,蓝力是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
虚之实,虚之实,养老服务;医疗健康,养老机构;认知症,B2B,技术服务商,,国内,虚之实是VR康复训练品牌，用虚拟现实技术为老年认知衰退和康复训练提供方案。,失智老人赛道,照护机构
记忆家,记忆家,养老服务;医疗健康,养老机构;认知症,B2B+B2C,服务商,,国内,记忆家是专注认知症老人照护的服务品牌，提供认知症家庭支持、日间照料和专业照护服务。,失智老人赛道,照护机构
谊安医疗,谊安医疗,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,谊安医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
豪悦,豪悦,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,豪悦是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
赋爱科技,赋爱科技,养老服务;医疗健康,养老机构;认知症;适老化,B2B,技术服务商,,国内,赋爱科技是养老科技品牌，专注智能适老化产品和养老信息化方案。,失智老人赛道,照护机构
趣得多,趣得多,渠道零售,电商,B2B,服务商(媒体/数据),,国内,趣得多是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
足力健,足力健,消费品,鞋服,B2B,服务商(媒体/数据),,国内,足力健是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
足步医疗,足步医疗,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,足步医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
达旦无极,达旦无极,养老服务;医疗健康;消费品,养老机构;智能硬件;认知症,B2B+B2C,制造商(硬件/设备),,国内,达旦无极是智能养老设备品牌，研发老年人安全监测和健康追踪产品。,失智老人赛道,照护机构
达晨财智,达晨财智,金融保险,产业资本,未标注,服务商,,国内,达晨财智是国内领先的本土创投机构，管理资产规模超350亿元，在医疗健康和养老产业有多个投资布局。,产业资本,消费背景
达风投资,达风投资,金融保险,产业资本,未标注,服务商,,国内,达风投资是关注银发经济赛道的投资机构，在医疗健康和养老产业有投资布局。,产业资本,消费背景
迈德斯特,迈德斯特,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,迈德斯特是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
远方好物,远方好物,食品营养,保健品,B2C,制造商(消费品),,国内,远方好物是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
远洋椿萱茂,远洋椿萱茂,养老服务,养老社区,B2B+B2C,平台,,国内,远洋椿萱茂是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
迪马常青社,迪马常青社,养老服务,养老社区,B2B+B2C,平台,,国内,迪马常青社是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
退休俱乐部,退休俱乐部,文娱社交,文娱;社交平台,B2B+B2C,平台,,国内,退休俱乐部是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。,老年文娱,社交平台
通策医疗,通策医疗,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,通策医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
遇禾规划,遇禾规划,养老服务;消费品,居家护理;智能硬件;适老化;适老化改造,B2B+B2C,平台,,国内,遇禾规划是适老化产品品牌，专注老年人居家环境改造和适老化设备研发。,适老化改造,适老家居产品
遇见美好,遇见美好,文娱社交,文娱;社交平台,B2B+B2C,平台,,国内,遇见美好是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。,老年文娱,社交平台
郑远元,郑远元,医疗健康;食品营养,保健品;健康管理,B2C,服务商,,国内,郑远元是健康养生品牌，为银发人群提供健康管理或养生保健产品和服务。,健康服务,健康养生
金牌护士,金牌护士,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,金牌护士是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。,养老服务,专业级护理
金矢机器人,金矢机器人,医疗健康;消费品,康复医疗;智能硬件,B2B+B2C,服务商,,国内,金矢机器人是康复医疗品牌，提供老年康复训练、物理治疗等康复服务或设备。,康复设备,运动康复
金鼎资本,金鼎资本,金融保险,产业资本,未标注,服务商,,国内,金鼎资本是关注银发经济赛道的投资机构，在医疗健康和养老产业有投资布局。,产业资本,消费背景
钧晟科技,钧晟科技,医疗健康;消费品,康复医疗;智能硬件,B2B+B2C,制造商(硬件/设备),,国内,钧晟科技是康复医疗品牌，提供老年康复训练、物理治疗等康复服务或设备。,康复设备,运动康复
钰民,钰民,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,钰民是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
铂桐医疗,铂桐医疗,医疗健康;食品营养,保健品;健康管理,B2C,服务商,,国内,铂桐医疗是健康养生品牌，为银发人群提供健康管理或养生保健产品和服务。,健康服务,健康养生
铱创投资,铱创投资,金融保险,产业资本,未标注,服务商,,国内,铱创投资是关注银发经济赛道的投资机构，在医疗健康和养老产业有投资布局。,产业资本,消费背景
银创资本,银创资本,金融保险,产业资本,未标注,服务商,,国内,银创资本是关注银发经济赛道的投资机构，在医疗健康和养老产业有投资布局。,产业资本,消费背景
银发无忧,银发无忧,养老服务,居家护理,B2B,服务商(媒体/数据),,国内,银发无忧是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
银彩聚乐部,银彩聚乐部,文娱社交,文娱,B2B,服务商(媒体/数据),,国内,银彩聚乐部是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
银汤屋,银汤屋,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,银汤屋是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。,养老服务,专业级护理
链老网,链老网,养老服务,养老社区,B2B+B2C,平台,,国内,链老网是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
锣钹科技,锣钹科技,文娱社交,文娱;社交平台,B2B+B2C,平台,,国内,锣钹科技是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。,老年文娱,社交平台
锦好医疗,锦好医疗,养老服务;消费品,助听器;智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,锦好医疗是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
锦欣福星,锦欣福星,养老服务,养老社区,B2B+B2C,平台,,国内,锦欣福星是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
长岭资本,长岭资本,金融保险,产业资本,未标注,服务商,,国内,长岭资本是关注银发经济赛道的投资机构，在医疗健康和养老产业有投资布局。,产业资本,消费背景
阳光大姐,阳光大姐,文娱社交,文娱;社交平台,B2B+B2C,平台,,国内,阳光大姐是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。,老年文娱,社交平台
阿尔发,阿尔发,食品营养,保健品,B2C,制造商(消费品),,国内,阿尔发是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
阿福医疗,阿福医疗,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,阿福医疗是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。,养老服务,专业级护理
青鸟软通,青鸟软通,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,青鸟软通是专业护理服务品牌，提供居家养老护理、医疗护理等上门服务。,养老服务,专业级护理
韩愢,韩愢,消费品,个护,B2B,服务商(媒体/数据),,国内,韩愢是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
韩金靓,韩金靓,消费品,个护,B2B,服务商(媒体/数据),,国内,韩金靓是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
颐佳康,颐佳康,养老服务,养老社区,B2B+B2C,平台,,国内,颐佳康是养老机构运营商，运营养老社区或康养项目。,养老地产,运营商
高樟资本,高樟资本,金融保险,产业资本,未标注,服务商,,国内,高樟资本是关注银发经济赛道的投资机构，在医疗健康和养老产业有投资布局。,产业资本,消费背景
鱼跃,鱼跃,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,鱼跃是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
鲲鱼健康,鲲鱼健康,食品营养,保健品,B2C,制造商(消费品),,国内,鲲鱼健康是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
鲸灵集团,鲸灵集团,渠道零售,电商,B2B,服务商(媒体/数据),,国内,鲸灵集团是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
鹏翼时代,鹏翼时代,文娱社交,文娱;社交平台,B2B+B2C,平台,,国内,鹏翼时代是中老年社交娱乐平台，为银发群体提供社交互动和兴趣社区服务。,老年文娱,社交平台
麦孚,麦孚,食品营养,保健品,B2C,制造商(消费品),,国内,麦孚是营养保健品品牌，在中老年健康营养市场有布局，提供适合银发人群的保健产品。,健康食品,保健品&OTC
麦考林,麦考林,渠道零售,电商,B2B,服务商(媒体/数据),,国内,麦考林是银发经济领域行业服务商，为养老产业提供相关产品或服务。,行业服务,行业媒体
鼎植口腔,鼎植口腔,养老服务;消费品,智能硬件;适老化,B2B+B2C,制造商(硬件/设备),,国内,鼎植口腔是康复辅具或适老化设备品牌，为老年人和行动不便人群提供辅助产品。,养老用品,肢体障碍
AgenT,,医疗健康,认知症,未标注,服务商,,国内,使用常规抽血进行早期阿尔茨海默病检测,失智老人赛道,病情早筛
Alz You Need,,医疗健康,认知症,B2B+B2C,服务商,,国内,为护理人员找到阿尔茨海默症相关技术解决方案的匹配服务,行业服务,行业媒体
Autotune Me,,医疗健康;文娱社交;精神健康,心理健康服务;文娱;认知症,B2C,服务商,,国内,使用音乐解决阿尔茨海默病症状,老年文娱,老年音乐
CareVoice,,金融保险,保险,B2B+B2C,服务商,,国内,帮助保险公司将健康和保健功能整合到平台,行业服务,行业媒体
Coffee Cherry,,食品营养,营养食品,B2B,服务商(媒体/数据),,国内,面包店、咖啡,行业服务,行业媒体
Gyenno,,医疗健康;智能科技,慢病管理;机器人,B2C,服务商,,国内,帕金森及运动障碍患者智能餐勺与慢病管理,行业服务,行业媒体
lyflynks,,养老服务;智能科技,专业护理;护理平台;数字化,B2B+B2C,服务商,线上,国内,移动互联网护理平台，连接C端、护士、护理机构,养老服务,专业级护理
yooLab,,食品营养,营养食品,B2C,制造商(消费品),,国内,为现代人设计智能食品解决方案,行业服务,行业媒体
傅里叶智能,傅里叶智能,智能科技,机器人,B2B+B2C,服务商,,国内,康复机器人，获得较高融资,行业服务,行业媒体
去哪养老网,去哪养老网,文娱社交,咨询研究,B2B,服务商(媒体/数据),,国内,养老服务搜索展示消费评价平台,行业服务,行业媒体
可靠护理,可靠护理,养老服务,专业护理,B2B,服务商(媒体/数据),,国内,成人失禁用品,行业服务,行业媒体
圣德医养,圣德医养,医疗健康,认知症;远程医疗,B2B+B2C,服务商,,国内,半失能、失能、失智老人医养结合，11家连锁机构,行业服务,行业媒体
孝爱宝,孝爱宝,文娱社交,咨询研究,B2B,服务商(媒体/数据),,国内,养老服务搜索展示消费评价平台,行业服务,行业媒体
新东方文旅,新东方文旅,文娱社交,旅游,B2C,服务商,,国内,新东方教育科技集团全资子公司，2023年成立，注册资本10亿元。面向中老年及全年龄段群体提供文化旅行、国际游学、国内研学、营地教育及康养旅居等文旅产品。已...,行业服务,行业媒体
松龄护老,松龄护老,养老服务,居家护理,未标注,上市公司,,国内,香港养老护理提供商，2017年上市,行业服务,行业媒体
梨花教育,梨花教育,文娱社交,教育,B2C,服务商,,国内,国内头部老年教育,行业服务,行业媒体
爱晖,爱晖,医疗健康,健康管理,B2B,技术服务商,,国内,国内服药管理，研发难度很大,行业服务,行业媒体
百合佳缘,百合佳缘,文娱社交,相亲,B2B,服务商(媒体/数据),,国内,有子业务，开展不太顺利,行业服务,行业媒体
科大讯飞,科大讯飞,消费品,助听器,B2B,服务商(媒体/数据),,国内,国内助听巨头,行业服务,行业媒体
红松,红松,文娱社交,教育,B2C,服务商,,国内,国内头部老年教育,行业服务,行业媒体
维小饭,维小饭,食品营养,营养食品,B2C,制造商(消费品),,国内,国内个性化营养,行业服务,行业媒体
蓓姿,蓓姿,养老服务,专业护理,B2B,服务商(媒体/数据),,国内,国内尿失禁产品,行业服务,行业媒体
量子之歌(千尺学堂),量子之歌(千尺学堂),文娱社交,教育,B2C,服务商,,国内,国内头部老年教育,行业服务,行业媒体
锦欣康养,锦欣康养,医疗健康,康复医疗,B2B,服务商(媒体/数据),,国内,养老康复服务机构，成立于2014年,行业服务,行业媒体
小橙长护,小橙长护,养老服务,专业护理;居家护理;适老化,B2C,服务商,,国内,"集""养老护理服务、医养人才培养、数字化医养平台""为一体，提供生活照料、医疗护理、病患管理、康复理疗，以及辅具租赁、适老化改造、护理员培训等服务。2023....",养老服务,专业级护理
璞缘照护,璞缘照护,养老服务,专业护理;居家护理,B2B+B2C,服务商,,国内,专注居家护理养老服务，在全国30个城市连锁布局长护定点业务，以社区为依托，承接多地社区日照、养老服务中心、养老驿站的运营服务。2023.03 A轮融资数千万元,养老服务,专业级护理
青松康护,青松康护,养老服务,专业护理;居家护理,B2B+B2C,平台,,国内,康复护理服务机构，专门服务于居住在家中和社区内的老年人、残疾人、病后术后康复期人群，提供专业规范的长期照护和康复护理服务。2016年B轮数千万美元,养老服务,专业级护理
颐家养老,颐家养老,养老服务,居家护理,B2B+B2C,平台,,国内,"为社区老人提供医、护、康、养、险服务，通过机构、站点、居家等多种服务模式，形成特色的""医养服务平台网络""，实现""全人、全龄、全家、全程""照护服务。2023...",行业服务,行业媒体
二毛照护,二毛照护,养老服务;医疗健康,专业护理;居家护理;认知症,B2B+B2C,平台,,国内,主要面向高龄、失能、失智人群，为用户提供生活照护、病症护理、病后康复等方面一站式居家照护服务。业务包括整月照护、全天照护、失智照护以及分时照护。2016....,养老服务,专业级护理
小羊养老,小羊养老,养老服务,居家护理;适老化;适老化改造,B2B+B2C,服务商,,国内,专业的陪诊业务和适老化改造业务是小羊养老目前最主要的服务。2022.08天使轮数百万元融资,健康服务,陪诊服务
清檬养老,清檬养老,养老服务;文娱社交,居家护理;文娱;社交平台,B2B+B2C,平台,,国内,自主研发养老人才教育培训体系和智慧照护体系，提供24小时居家照护服务、社区托管照护服务、上门服务、康复护理以及疗养度假服务。未融资，获得奖项较多,老年文娱,社交平台
玛土撒拉,玛土撒拉,食品营养,营养食品,B2C,制造商(消费品),,国内,深耕于特医食品行业，集研发、生产、销售于一体的医学营养科技型企业。出品四大系列医学营养产品：特医食品系列、营养强化系列、低GI系列、控能食品系列。2022...,健康食品,特医食品
甲子科技(甲子养老),甲子科技(甲子养老),养老服务;渠道零售,适老化;零售,未标注,服务商,线下,国内,线下门店销售代步车、适老辅具，上门测量改造服务,购物渠道,线下渠道
令羽(肤恩),令羽(肤恩),消费品,个护;日用,未标注,服务商,,国内,茶香香氛润肤乳，主打老年干燥肌基础保湿,日常用品,老年护肤
瑞邦生物,瑞邦生物,消费品,个护,B2C,制造商(消费品),,国内,食品肽原料，旗下拥有韩愢染发自有消费品牌,日常用品,假发
麦孚营养,麦孚营养,食品营养,营养食品,B2C,制造商(消费品),,国内,全营养、特定疾病、老年营养特医配方,日常用品,假发
冬泽特医,冬泽特医,食品营养,营养食品,B2C,制造商(消费品),,国内,术后全营养、吞咽匀浆膳，长三角医院、养老机构渠道,日常用品,假发
优生活羊奶,优生活羊奶,食品营养,保健品;营养食品,未标注,服务商,,国内,液态羊奶、羊奶粉，广东、福建中老年市场深耕,购物渠道,线下渠道
退休俱乐部(东犁),退休俱乐部(东犁),文娱社交,文娱;旅游,B2C,服务商,线下,国内,电视节目引流中老年周边、长线康养旅游，线下聚会服务,日常用品,假发
彭世修脚,彭世修脚,消费品,个护,B2B+B2C,平台,线下,国内,修脚、足疗、采耳、推拿中老年线下社区养生服务,购物渠道,线下渠道
唯艾科技,唯艾科技,渠道零售,零售,未标注,服务商,线下,国内,家用、门店智能艾灸理疗，中老年养生体验转化产品,购物渠道,线下渠道
清雷科技,清雷科技,养老服务;医疗健康;消费品,个护;健康监测;居家护理,B2B+B2C,平台,,国内,毫米波雷达无感跌倒、生命体征监测，养老机构+居家双场景,日常用品,假发
苗米科技,苗米科技,医疗健康;消费品,个护;健康监测;智能硬件,B2B+B2C,平台,,国内,毫米波+红外融合跌倒、生命体征监测设备，华东社区养老深耕,日常用品,假发
点可科技,点可科技,医疗健康;消费品,个护;健康监测,B2B+B2C,平台,,国内,家用跌倒报警器，C端家庭零售+社区批量采购,日常用品,假发
兆观智能,兆观智能,医疗健康;消费品,个护;健康监测,B2B,制造商(硬件/设备),,国内,无感床垫式睡眠呼吸监测，老年睡眠呼吸暂停筛查二类医疗器械,日常用品,假发
享睡Sleepace,享睡Sleepace,养老服务;医疗健康;消费品,个护;健康监测;居家护理;智能硬件,B2B+B2C,平台,,国内,家用无感睡眠监测垫，居家、养老机构双场景硬件,日常用品,假发
大耳马医学,大耳马医学,养老服务;医疗健康;消费品,个护;健康监测;居家护理;慢病管理,B2B+B2C,平台,,国内,鼾症、睡眠呼吸暂停居家监测，适配老年慢病人群,日常用品,假发
太平梧桐人家,太平梧桐人家,文娱社交,文娱;社交平台,B2B+B2C,服务商,,国内,保险对接高端持续照料社区，上海旗舰,老年文娱,社交平台
复星保德信颐养,复星保德信颐养,养老服务,养老社区,B2B+B2C,平台,,国内,复星蜂巢配套养老社区，高净值客群,行业服务,行业媒体
安养养老（安养帮）,安养养老（安养帮）,养老服务,养老社区,B2B+B2C,平台,线上,国内,线上机构检索、点评、预约入住服务,养老地产,运营商
天一智慧,天一智慧,养老服务;消费品,居家护理;智能硬件,B2B+B2C,平台,,国内,社区智慧平台、居家监护硬件配套,行业服务,行业媒体
戴恩医疗,戴恩医疗,养老服务,居家护理,B2B+B2C,服务商,,国内,失能老人上门洗澡、身体清洁护理,养老服务,助浴助洁
鱼跃医疗,鱼跃医疗,养老服务,适老化,B2B,制造商(硬件/设备),,国内,手动/电动轮椅、护理器械全产业链,养老用品,肢体障碍
互邦医疗,互邦医疗,养老服务,适老化,未标注,服务商,,国内,医院、养老院批量手动/电动轮椅,购物渠道,线下渠道
振邦医疗,振邦医疗,养老服务,适老化,未标注,服务商,,国内,手动轮椅、助行器县域渠道批发,养老用品,肢体障碍
厚福医疗,厚福医疗,养老服务,专业护理,B2B+B2C,服务商,,国内,三甲、大型护理院高端护理床,养老服务,专业级护理
德林假肢,德林假肢,养老服务;医疗健康,康复医疗;适老化,未标注,服务商,,国内,下肢、上肢假肢定制+康复训练,购物渠道,线下渠道
博音听力,博音听力,消费品,助听器,未标注,服务商,,国内,助听器验配、听力康复服务,购物渠道,线下渠道
一康医疗,一康医疗,医疗健康;消费品,康复医疗;智能硬件,B2B,制造商(硬件/设备),,国内,下肢步态、上肢康复训练器械,康复设备,运动康复
豪悦护理,豪悦护理,养老服务,专业护理,未标注,上市公司,,国内,A股护理用品龙头，成人失禁用品ODM+自有品牌双轮驱动,养老用品,成人失禁
曼景科技,曼景科技,医疗健康;消费品,康复医疗;智能硬件;认知症,B2B+B2C,制造商(硬件/设备),,国内,神经调控康复设备，聚焦老年认知障碍、精神疾病康复,康复设备,运动康复
品驰医疗,品驰医疗,医疗健康;消费品,康复医疗;智能硬件,B2B+B2C,制造商(硬件/设备),,国内,脑起搏器龙头，帕金森等老年神经疾病植入式治疗设备,康复设备,运动康复
英智康复,英智康复,医疗健康;消费品,康复医疗;智能硬件;认知症,B2B+B2C,服务商,线下,国内,神经康复医疗连锁，脑卒中、老年认知障碍线下康复中心,康复设备,运动康复
爱康医疗,爱康医疗,医疗健康;消费品,康复医疗;智能硬件,B2B,制造商(硬件/设备),,国内,骨科植入物+肿瘤康复设备厂商，医用康复器械配套医院,康复设备,运动康复
养老福祉圈,养老福祉圈,养老服务;文娱社交,行业媒体;适老化;适老化改造,B2B,服务商(媒体/数据),,国内,养老辅具与福祉产业垂直媒体，聚焦适老产品赛道,行业服务,行业媒体
小咖云,小咖云,文娱社交;智能科技,数字化;行业媒体,B2B,服务商(媒体/数据),,国内,养老产业资讯与资源对接平台，侧重中小养老机构服务,行业服务,行业媒体
银行＆保险公司,银行＆保险公司,金融保险,保险;养老金融,B2B+B2C,服务商,,国内,银行养老理财、保险年金、增额终身寿等银发主流理财渠道,行业服务,金融理财
绿康医养,绿康医养,养老服务,养老社区,B2B+B2C,服务商,,国内,浙江医养结合连锁龙头，主打护理型刚需养老机构,养老地产,运营商
哺恩养老,哺恩养老,养老服务;医疗健康,养老社区;认知症,B2B+B2C,服务商,,国内,认知症专业照护连锁机构，聚焦失智老人刚需照护,养老地产,运营商
方文咨询,方文咨询,文娱社交,咨询研究,B2B,服务商,,国内,养老行业运营咨询，聚焦机构运营提升、公建民营投标,行业服务,咨询研究
群业咨询,群业咨询,文娱社交,咨询研究,未标注,服务商,,国内,康养产业规划咨询，服务地方政府康养产业落地,行业服务,咨询研究
天佑安康,天佑安康,文娱社交,咨询研究,B2B,服务商,,国内,养老机构运营咨询与托管，专注中小养老机构盈利提升,行业服务,咨询研究
Chapter,,金融保险,保险;养老金融,B2B+B2C,服务商,,海外,数字健康初创公司，帮助老年人了解医疗保险方案。成立于2020年。,行业服务,金融理财
Honor,,养老服务,专业护理;居家护理,B2B+B2C,服务商,,海外,"养老网络技术平台，为护理员提供个性化福利，连接C端和护理员。被称为""滴滴护工""。",养老服务,专业级护理
Inspiren,,医疗健康;消费品,健康监测;智能硬件,B2B,技术服务商,,海外,AI驱动的老年生活技术，用于监测和改善老年人生活质量。,老年文娱,社交平台
Accompany Health,,养老服务,居家护理,B2B+B2C,服务商,,海外,为有复杂需求的低收入患者提供全天候虚拟和面对面初级、行为和社会护理服务。,健康食品,保健品&OTC
Ageless Innovation,,养老服务;文娱社交,专业护理;文娱,B2B+B2C,服务商,,海外,以Joy for All Companion Pets系列为起点，专注创造促进乐趣和陪伴的产品，降低护理成本并为老年人建立联系。,养老服务,专业级护理
Amedisys,,养老服务;医疗健康,专业护理;临终关怀;居家护理,B2B+B2C,平台,,海外,美国大型居家护理服务提供商，2024年8月被正式收购（33亿美元），之前因反垄断推迟。,养老服务,专业级护理
Athulya Senior Care,,渠道零售,零售,B2B+B2C,服务商,,海外,印度养老护理连锁，提供从独立生活到专业护理的全链条服务。,购物渠道,线下渠道
Blooming Health,,养老服务;医疗健康;文娱社交;智能科技,SODH;专业护理;数字化;文娱,B2B+B2C,平台,,海外,21个州700+社区项目，连接医疗保健提供者和社会服务组织，为老年人提供交通、送餐、社交等支持。,养老服务,专业级护理
CarePredict,,医疗健康,健康监测;远程医疗,B2B,技术服务商,,海外,AI驱动数字健康平台，自主识别日常活动和行为变化，检测健康问题早期迹象。住院率降低39%，跌倒率降低69%。,行业服务,行业媒体
Cariloop,,养老服务,专业护理,B2B+B2C,服务商,,海外,让公司支持在职护理人员，提高员工福利和留任率。为宝洁、毕马威等提供服务，收入3年增长近300%。NPS超80。,养老服务,专业级护理
Cera Care,,养老服务,专业护理;居家护理,未标注,服务商,,海外,欧洲最大数字优先家庭医疗保健服务提供商。90%收入来自NHS和地方政府合同。过去三年增长100倍。,养老服务,专业级护理
Empathy,,医疗健康,临终关怀,B2B+B2C,服务商,,海外,为失去亲人的家庭提供全面支持，包括悲伤辅导、遗产规划、行政事务处理等。,养老服务,临终关怀
ForSight Robotics,,智能科技,机器人,B2B+B2C,服务商,,海外,机器人白内障手术创新。半数美国人在80岁患白内障，三分之一在60岁以下就患病。,行业服务,行业媒体
Habitat Health,,养老服务;医疗健康,SODH;专业护理;养老社区,B2B+B2C,平台,,海外,构建技术平台使医疗保健提供者解决健康社会决定因素。参与PACE计划，帮助老年人管理健康并在家庭和社区保持独立。,养老服务,专业级护理
Hinge Health,,医疗健康,健康管理;慢病管理,B2B+B2C,服务商,,海外,数字MSK（肌肉骨骼）护理，虚拟/面对面肌肉骨骼护理。股票代码HNGE。,健康服务,慢病管理
Homethrive,,养老服务,专业护理;护理平台,B2B+B2C,服务商,,海外,对护理员的情感、专业、工作、福利等方面提供支持。客户来自健康计划、企业、个人。成立于2018年。,养老服务,专业级护理
IXI,,消费品,眼镜,B2B,服务商(媒体/数据),,海外,世界上第一款自动对焦眼镜，根据佩戴者老花眼自动调节度数。亚马逊等投资。,行业服务,行业媒体
IntusCare,,养老服务,专业护理;居家护理,B2B+B2C,服务商,,海外,老年护理预测分析解决方案提供商，改善有复杂需求老年人的治疗结果。为PACE计划提供数字化平台。,养老服务,专业级护理
Rippl Care,,养老服务;医疗健康;精神健康,养老机构;心理健康服务;认知症,未标注,服务商,,海外,痴呆症心理健康服务提供商。,失智老人赛道,照护机构
Seen Health,,养老服务;金融保险,专业护理;产业资本;养老社区,B2B+B2C,上市公司,,海外,PACE计划，为享受Medicare/Medicaid的慢性病老年人提供全面医疗和社会支持。参考上市公司Innovage。,养老服务,专业级护理
Silvernest,,养老服务,养老社区,B2B,技术服务商,,海外,帮助空巢老人将房间出租给学生和专业人士，跨代合住缓解孤独并提供技术支持。,行业服务,行业媒体
Sprinter Health,,医疗健康,远程医疗,B2B+B2C,服务商,,海外,提供上门移动医疗服务（抽血、生命体征、医疗测试），主要支付方Medicare/Medicaid。,行业服务,行业媒体
Sword Health,,医疗健康,健康管理;慢病管理,B2B,技术服务商,,海外,全球约17亿人患MSK疾病。Sword Health从背部/关节疼痛扩展到女性骨盆健康。运用AI。,健康服务,慢病管理
Tombot,,养老服务;医疗健康;文娱社交,养老机构;文娱;认知症;陪伴机器人,B2B+B2C,服务商,,海外,加利福尼亚机器人公司，生产机器小狗作为痴呆症和轻度认知障碍患者的伴侣动物。,失智老人赛道,照护机构
True Link Financial,,金融保险,保险;养老金融,B2C,服务商,,海外,为老年人和残疾人管理资金、防止金融欺诈。管理资产超10亿美元，服务家庭超25万。,行业服务,金融理财
