serial,name,tag_l1,tag_l2,desc_len,desc_preview,desc_cn_len,desc_cn_preview,rv,sig,total,has_recommend,reco_len
,新程逸游（北京）旅游有限公司,文娱社交,旅游,52,新程逸游（北京）旅游有限公司：专注高端康养与精品旅行企业。面向银发人群及相关养老服务机构提供产品与服务。,52,新程逸游（北京）旅游有限公司：专注高端康养与精品旅行企业。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,64
,广州东晨网络科技有限公司,康复辅具,智能硬件,52,广州东晨网络科技有限公司：我司有精准银发流量。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,52,广州东晨网络科技有限公司：我司有精准银发流量。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,131
,上海青蒿生物科技有限公司,消费品,美妆护肤,52,上海青蒿生物科技有限公司：中老年护肤养生产品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,52,上海青蒿生物科技有限公司：中老年护肤养生产品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,173
#0034,美篇,文娱社交,文娱,53,中老年图文创作社区，微信生态内热门应用，提供图文排版、影集制作等功能，是银发群体重要的内容创作和分享平台。,145,面向40岁以上人群的中老年图文创作与兴趣社区，用户1分钟可做出带音乐视频的图文并一键分享到微信，平台沉淀摄影、文学、养生等栏目与线上讲堂。收入靠广告、会员、内容打赏、印品定制及'亲选电商'与定制旅游。,61.2,4.05,10.9,True,76
#0149,天鹅到家,养老服务,家政,53,天鹅到家（原58到家）是国内最大的家庭服务平台，提供保洁、月嫂、养老护理等上门服务，覆盖全国400+城市。,111,面向家庭的服务平台，提供保姆、月嫂、保洁、维修等近300个细分品类，以数字派单连接劳动者与家庭，收入来自服务费与技能培训；近年拓展居家养老家政综合服务中心，为老人提供问诊、量血压等惠老服务，把高频家政,54.4,0.8,8.2,True,78
#0293,米兰登,消费品,服装鞋帽,53,米兰登服饰（广东）有限公司（1995年创立）旗下中老年女装知名品牌，主打天然麻棉环保面料的功能性高端女装。,11,中老年麻棉功能女装品牌,29.6,0.55,4.4,True,79
#0305,美邸中国,养老服务,认知症,53,美邸（Mederith）是日本知名养老服务品牌的中国分支，运营高端认知症照护机构，引入日式精细化照护理念。,13,日式认知症照护机构（中国）,38.7,0.55,6.0,True,89
#0939,Landmark Health,养老服务,居家医疗,53,为患有多种慢性病的复杂老年患者群体提供居家医疗服务，隶属于Optum/UHG，被Optum以35亿美元收购,15,B2C/B2B 社区/居家服务,38.7,0.55,5.9,True,87
#0959,Voize,行业服务,养老软件,53,AI语音护理记录助手，利用AI将护理员口述语音自动转化为合规的结构化文档。已在德国1000+家养老机构落地,118,面向养老与医疗机构护理员的AI语音助手，把口述实时转成结构化合规病历并自动处理排班与沟通，可离线在手机端运行、支持方言。收入来自机构按席位或使用量的B2B订阅。对应国内护理记录电子化滞后、护工文书负担,55.2,4.05,10.2,True,88
#0964,Synchron,消费品,智能硬件,53,非手术脑机接口(BCI)，帮助瘫痪患者恢复沟通和行动能力。微创植入，未来将扩展至与衰老相关的认知和功能衰退,146,美国非手术（血管内）脑机接口公司，核心产品Stentrode经颈静脉植入运动皮层，免开颅采神经信号助瘫痪与ALS患者思维控制设备。2025年实现全球首例通过Apple BCI协议意念控制iPad，并完,68.1,5.05,12.7,True,131
#1174,Benesse,文娱社交,教育,53,日本教育与原日生(老年照护)集团，东京证交所上市，业务横跨儿童教育与高龄者照护(护理规划中心、养老住宅)。,147,运营360余处养老设施与儿童教育机构，主打'老幼共托'社区综合体与居家照护服务。收入来自介护保险给付、B2C会员费及B2B机构合作。核心银发价值在跨代融合照护模式——以统一会员体系串联全生命周期服务，,69.7,6.55,13.7,True,132
#1286,九安医疗,食品营养/康复辅具,糖尿病/可穿戴监测,53,国内家用医疗与健康设备企业（深交所上市），以iHealth品牌布局血压、血糖等老年健康监测与海外数字健康。,16,B2B2C 家用健康监测（上市）,41.6,0.55,6.2,True,77
#1299,达闼科技,康复辅具,人形机器人,53,云端智能机器人公司（CloudMinds），提供云端大脑+机器人本体，服务机器人可用于养老陪护与导诊场景。,111,这家云端智能机器人公司2015年成立，曾以云端大脑加本体模式位居服务机器人头部，累计融资超过50亿元，至2023年C轮突破10亿元；但2024年起出现欠薪裁员、被列为被执行人，到2025年总部已人去楼,45.6,0.55,7.0,True,174
#1312,Jubo,行业服务/养老服务,养老软件/远程护理,53,台湾AI养老照护平台，连接机构与居家场景、沉淀照护数据。成立于2018年；累计融资约2350万美元，B轮。,99,台湾AI养老照护数据平台，连接机构与居家两类场景，沉淀照护过程记录并转化为可分析的数据资产，帮运营方提效与决策，成立以来完成约两千三百五十万美元融资、处B轮阶段，是华人地区养老数字化的代表企业之一。,50.6,2.55,8.7,True,161
#1319,Capital Rx,金融保险,保险科技,53,新一代药品福利管理(PBM)平台，以透明化技术重构处方药报销，降低自费与医保支出。纽约；Series C。,93,帮保险公司管理处方药报销的美国平台，用透明技术重构药价与报销流程、压低老人自费与医保支出，已到C轮。收入来自向保险方与雇主收取服务费。银发价值在控制老年群体最大医疗支出项之一的用药成本。,53.1,0.55,7.9,True,120
#1407,鸿鑫众悦（北京）科技有限公司,养老服务,家政,53,"社区一站式便民服务
【提供资源】平台、家政服务体系、服务团队
【需求资源】社区合伙人、物业合作、区域合伙人",5,聚焦家政的,39.6,0.55,5.9,True,73
,小橙集团郑州公司,养老服务,居家护理,53,小橙集团郑州公司：社区日间照料中心运营赋能。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,53,小橙集团郑州公司：社区日间照料中心运营赋能。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,105
,合肥市同舟家政公司,养老服务,居家护理,53,合肥市同舟家政公司：万人级居家护工服务团队。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,53,合肥市同舟家政公司：万人级居家护工服务团队。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,100
,上海希卡立科技有限公司,康复辅具,智能硬件,53,上海希卡立科技有限公司：生命体征、跌倒监测硬件。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,上海希卡立科技有限公司：生命体征、跌倒监测硬件。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,111
,中科天镜（成都）机器人有限公司,康复辅具,智能硬件,53,中科天镜（成都）机器人有限公司：康复辅助机器人。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,中科天镜（成都）机器人有限公司：康复辅助机器人。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,106
,都江堰瑞韵银发酒店管理有限公司,文娱社交,旅游,53,都江堰瑞韵银发酒店管理有限公司：青城山 5A 文旅康养项目。面向银发人群及相关养老服务机构提供产品与服务。,53,都江堰瑞韵银发酒店管理有限公司：青城山 5A 文旅康养项目。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,95
,恒信（天津）医药有限公司,康复辅具,助听器,53,恒信（天津）医药有限公司：免验配医疗器械助听器。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,恒信（天津）医药有限公司：免验配医疗器械助听器。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,71
,伊利诺护理机器人有限公司,康复辅具,机器人,53,伊利诺护理机器人有限公司：穿戴式二便护理机器人。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,伊利诺护理机器人有限公司：穿戴式二便护理机器人。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,120
,博歌（深圳）自动化有限公司,康复辅具,陪伴机器人,53,博歌（深圳）自动化有限公司：商用服务陪护机器人。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,博歌（深圳）自动化有限公司：商用服务陪护机器人。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,92
,海尔康养产业,消费品,服装鞋帽,53,海尔康养产业：社区居家智慧平台、全品类适老产品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,海尔康养产业：社区居家智慧平台、全品类适老产品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,96
,浙江霸滃科技有限公司,消费品,服装鞋帽,53,浙江霸滃科技有限公司：回春鸟智能按摩鞋、助眠枕。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,浙江霸滃科技有限公司：回春鸟智能按摩鞋、助眠枕。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,76
,汇晨（苏州）健康养老产业发展有限公司,消费品/养老服务,服装鞋帽/养老社区,53,汇晨（苏州）健康养老产业发展有限公司：光大智慧养老线上商城。面向银发人群及相关养老服务机构提供产品与服务。,53,汇晨（苏州）健康养老产业发展有限公司：光大智慧养老线上商城。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,82
,天津路可服饰有限公司,消费品,服装鞋帽,53,天津路可服饰有限公司：35 年银发女装生产企业。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,天津路可服饰有限公司：35 年银发女装生产企业。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,68
,深圳市海外国际旅行社有限公司,文娱社交,兴趣社群/旅游,53,深圳市海外国际旅行社有限公司：高端中老年南北极、出境定制游。面向银发人群及相关养老服务机构提供产品与服务。,53,深圳市海外国际旅行社有限公司：高端中老年南北极、出境定制游。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,81
,苏州启教文化科技有限公司,文娱社交,旅游,53,苏州启教文化科技有限公司：银发旅居项目运营。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,53,苏州启教文化科技有限公司：银发旅居项目运营。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,82
,河南人人教育信息咨询有限公司,文娱社交,兴趣社群,53,河南人人教育信息咨询有限公司：康养从业证书培训。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,河南人人教育信息咨询有限公司：康养从业证书培训。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,72
,中国纸业投资有限公司,消费品/文娱社交,纸尿裤/兴趣社群,53,中国纸业投资有限公司：成人纸尿裤、失禁护理用品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,中国纸业投资有限公司：成人纸尿裤、失禁护理用品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,68
,浙江东盛慧谷科技有限公司,消费品/文娱社交,个人护理/兴趣社群,53,浙江东盛慧谷科技有限公司：水杨酸灰指甲抑菌凝胶。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,浙江东盛慧谷科技有限公司：水杨酸灰指甲抑菌凝胶。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,67
,广州黑嘟嘟化妆品有限公司,消费品/文娱社交,个人护理/兴趣社群,53,广州黑嘟嘟化妆品有限公司：中老年染发剂品牌。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,53,广州黑嘟嘟化妆品有限公司：中老年染发剂品牌。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,46
,上海茶寿健康管理有限公司,养老服务/文娱社交,居家护理/兴趣社群,53,上海茶寿健康管理有限公司：社区康养服务平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,53,上海茶寿健康管理有限公司：社区康养服务平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,53
,苏州香溢富能品牌管理有限公司,食品营养,营养食品,53,苏州香溢富能品牌管理有限公司：中茶健康银发茶品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,53,苏州香溢富能品牌管理有限公司：中茶健康银发茶品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,84
,山东亿企加速管理咨询有限公司,消费品,营养食品,53,山东亿企加速管理咨询有限公司：可承接公域流量的私域转化团队。面向银发人群及相关养老服务机构提供产品与服务。,53,山东亿企加速管理咨询有限公司：可承接公域流量的私域转化团队。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,89
#0038,量子之歌,文娱社交,教育/兴趣社群,54,在线教育集团（NASDAQ: QSG），旗下启牛学堂等品牌，提供金融素养和兴趣学习课程，中老年用户占比显著。,124,中老年兴趣学习平台，主打书法、钢琴、站桩、八段锦等线上课程与景德镇、武当山等线下游学产品，并提供AI学习工具。收入来自课程会员费、游学增值服务及银发健康消费品。银发价值在于以'线上+线下+AI'学习圈,73.7,6.55,14.2,True,173
#0102,健行仿生,康复辅具,外骨骼,54,健行仿生（BionicM）是外骨骼机器人研发商，专注智能假肢和外骨骼产品，帮助老年人和残障人士恢复行动能力。,103,东京大学博士孙小军创立的智能动力假肢机器人公司，2021年量产亚洲首款高端智能电动假肢“Bio Leg”，融合仿生与机器人技术帮助下肢截肢人群恢复行走。已获种子/A/B三轮融资，收入来自B端机构与C端,45.6,0.55,7.0,True,75
#0464,CarePredict,康复辅具,跌倒监测,54,AI驱动数字健康平台，自主识别日常活动和行为变化，检测健康问题早期迹象。住院率降低39%，跌倒率降低69%。,112,面向居家与机构老人的被动式可穿戴，持续感知日常活动与行为变化，提前预警健康恶化与跌倒风险。以硬件销售加数据订阅向养老机构、居家照护机构与家庭收费。对应国内“无感监测+预测干预”养老运营数据闭环缺、且支,52.6,3.55,9.7,True,95
#0947,AccentCare,养老服务,居家护理,54,PE大额并购支撑，规模头部。以线下服务交付为主，连锁居家机构标准化运营。2019收购，2018融资3.75亿,12,B2C/B2B 加盟连锁,39.6,0.55,5.9,True,87
#1165,AdaptHealth,康复辅具,助行器/医疗器械,54,美国领先家用医疗设备(HME)与服务商，纳斯达克代码 AHCO，提供呼吸机、氧气、营养与行动辅助等上门服务。,125,家用医疗设备(HME)连锁商，向慢病老人提供呼吸机、制氧机、睡眠与糖尿病器械及上门安装维护，47州约640网点。收入来自政府Medicare/Medicaid、商业保险报销与设备租赁。银发价值在“产品,64.7,6.55,12.8,True,76
#1215,Lexie Hearing,康复辅具,助听器,54,由WS Audiology支持的DTC助听器品牌，提供APP自助验配与远程听力专家服务，面向轻中度听损老人。,15,B2C DTC助听器+远程验配,39.6,0.55,5.9,True,102
,上海神圆文化发展有限公司,行业服务,,54,上海神圆文化发展有限公司：老年无极球运动赛事运营。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,上海神圆文化发展有限公司：老年无极球运动赛事运营。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,92
,家游智伴,文娱社交,教育,54,家游智伴：10 万集老年大学课程 + 智能陪伴机。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,家游智伴：10 万集老年大学课程 + 智能陪伴机。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,104
,深圳作为科技有限公司,康复辅具,智能硬件,54,深圳作为科技有限公司：纯钛智能药水杯、护理机器人。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,深圳作为科技有限公司：纯钛智能药水杯、护理机器人。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,98
,上海亲聆科技有限公司,康复辅具,智能硬件,54,上海亲聆科技有限公司：居家养老软硬件集成平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,54,上海亲聆科技有限公司：居家养老软硬件集成平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,112
,瑞铧智能科技（东莞）有限公司,消费品,服装鞋帽,54,瑞铧智能科技（东莞）有限公司：稳善防滑稳步老年鞋。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,瑞铧智能科技（东莞）有限公司：稳善防滑稳步老年鞋。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,69
,浙江香云控股集团有限公司,消费品,服装鞋帽,54,浙江香云控股集团有限公司：300 + 线下门店，百万女性用户。面向银发人群及相关养老服务机构提供产品与服务。,54,浙江香云控股集团有限公司：300 + 线下门店，百万女性用户。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,68
,深圳市锦绣芳华科技有限公司,消费品,服装鞋帽,54,深圳市锦绣芳华科技有限公司：7 个视频号，12 万中老年粉丝。面向银发人群及相关养老服务机构提供产品与服务。,54,深圳市锦绣芳华科技有限公司：7 个视频号，12 万中老年粉丝。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,65
,浙江贺清装饰有限公司,消费品,服装鞋帽,54,浙江贺清装饰有限公司：银发生活馆、社区团长店。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,54,浙江贺清装饰有限公司：银发生活馆、社区团长店。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,75
,北京筑航体育健身有限公司,文娱社交,教育,54,北京筑航体育健身有限公司：国家级太极非遗 IP 课程、软硬件。面向银发人群及相关养老服务机构提供产品与服务。,54,北京筑航体育健身有限公司：国家级太极非遗 IP 课程、软硬件。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,60
,一诺音乐器（上海）有限公司,文娱社交,教育,54,一诺音乐器（上海）有限公司：老年电钢配套全套课程。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,一诺音乐器（上海）有限公司：老年电钢配套全套课程。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,85
,北京博学明辨科技有限公司,文娱社交,相亲,54,北京博学明辨科技有限公司：中老年社交婚恋平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,54,北京博学明辨科技有限公司：中老年社交婚恋平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,97
,北京中视志合文化传媒有限公司,文娱社交,兴趣社群,54,北京中视志合文化传媒有限公司：夕阳红老年电视栏目。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,北京中视志合文化传媒有限公司：夕阳红老年电视栏目。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,81
,火人（北京）科技发展有限公司,消费品/文娱社交,个人护理/兴趣社群,54,火人（北京）科技发展有限公司：双极水健康护理用品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,火人（北京）科技发展有限公司：双极水健康护理用品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,63
,上海佰孝养老服务有限公司,养老服务/文娱社交,居家护理/兴趣社群,54,上海佰孝养老服务有限公司：社区养老综合服务商。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,54,上海佰孝养老服务有限公司：社区养老综合服务商。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,50
,爱景国际酒店,文娱社交,旅游,54,爱景国际酒店：寻找需要在海南共建康养基地的企业和老年研学布点。面向银发人群及相关养老服务机构提供产品与服务。,54,爱景国际酒店：寻找需要在海南共建康养基地的企业和老年研学布点。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,74
,济南亚西亚药业有限公司,食品营养,营养食品,54,济南亚西亚药业有限公司：对接私域分销商，做保健品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,济南亚西亚药业有限公司：对接私域分销商，做保健品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,88
,优博瑞科技,康复辅具,智能硬件,54,优博瑞科技：康养大健康仪器，寻求渠道及经销合作；。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,优博瑞科技：康养大健康仪器，寻求渠道及经销合作；。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,146
,北京立保科技有限公司,养老服务,居家护理,54,北京立保科技有限公司：花甲商城适老改造供应链平台。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,54,北京立保科技有限公司：花甲商城适老改造供应链平台。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,162
,北京康硬尔健康管理有限公司,康复辅具,健康管理,54,北京康硬尔健康管理有限公司：中医外治技术输出。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,54,北京康硬尔健康管理有限公司：中医外治技术输出。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,139
,杭州悦伴健康科技有限公司,康复辅具,健康管理,54,杭州悦伴健康科技有限公司：诚邀保险、社区、养老、大健康等合作。面向银发人群及相关养老服务机构提供产品与服务。,54,杭州悦伴健康科技有限公司：诚邀保险、社区、养老、大健康等合作。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,118
#0020,悦心健康,养老服务,康养地产,55,A股上市公司（002162，原斯米克），从建筑陶瓷业务转型大健康与养老服务，布局康养社区、康复医疗和老年教育。,129,轻资产养老运营服务商，以'公建民营'托管模式运营居家社区养老机构，构建'医养康教研'五位一体区域养老网络。收入来自政府委托运营的管理费、品牌费及入住长者的床位费、护理费、餐费。银发价值在于以零重资产的,66.7,6.55,13.2,True,91
#0086,仙乐健康,食品营养,膳食补充剂,55,仙乐健康是营养保健食品CDMO龙头，为全球品牌提供营养保健品研发和代工服务，在银发营养市场有深度布局，已上市。,119,营养保健食品CDMO代工企业，为全球品牌客户提供软糖、软胶囊、口服液等剂型的研发到生产全产业链服务，覆盖抗衰、骨骼、心脑代谢等赛道。收入来自合同研发生产服务费，境外业务占比超六成。银发直接关联弱，仅以,54.6,6.55,11.4,True,83
#0227,智云健康,食品营养,糖尿病,55,智云健康是国内最大的慢病管理平台，聚焦糖尿病等慢性病管理，为医院和患者提供数字化慢病管理SaaS服务，已上市。,127,数字化慢病管理方案商，向医院与药店输出慢病管理SaaS（智云医汇/智云问诊），并以AI模型连接医患药，叠加P2M自营药品。收入来自院内订阅与P2M药品销售、药企数字营销及药店SaaS。银发价值在于以数,68.7,6.55,13.6,True,79
#0465,Cariloop,养老服务,照护支持,55,让公司支持在职护理人员，提高员工福利和留任率。为宝洁、毕马威等提供服务，收入3年增长近300%。NPS超80。,106,把员工的家庭照护负担做成企业留人福利，由专业护理教练提供一对一导航与资源协调，客户含大型雇主与机构。收入来自企业B2B订阅费。对应国内企业EAP与商业健康险尚缺“专业照护导航”、员工因照护分心误工的可,52.6,3.55,9.7,True,88
#0469,Habitat Health,行业服务,养老软件,55,构建技术平台使医疗保健提供者解决健康社会决定因素。参与PACE计划，帮助老年人管理健康并在家庭和社区保持独立。,147,专为55岁以上低收入失能老人设计的PACE社区医养结合服务，由医护康复与社会照护团队在社区中心提供全包式日间照护与上门服务，按Medicare/Medicaid人头付费。收入来自政府医保按人头支付。银,51.6,4.55,10.0,True,184
#0491,宝马,消费品,智能硬件,55,BMW（宝马）在银发经济领域聚焦老年人出行，通过车内适老化设计、辅助驾驶技术等提升老年驾驶者的安全性和舒适度。,12,车企适老化设计与辅助驾驶,30.6,0.55,4.7,True,82
#1096,珀莱雅,消费品,个人护理/美妆护肤,55,珀莱雅是国内美妆巨头，被曝将重启男士护肤赛道、关注此前被忽视的银发男性客群，'老年男性面子生意'是反共识切口。,55,珀莱雅是国内美妆巨头，被曝将重启男士护肤赛道、关注此前被忽视的银发男性客群，'老年男性面子生意'是反共识切口。,38.2,0.55,5.9,True,81
#1109,Sukoon Unlimited,文娱社交,陪伴服务/社区,55,印度 AgeTech 初创，以社区驱动模式对抗老年人孤独，提供陪伴与活动服务。2025年1月完成43万美元融资,85,印度AgeTech初创，用社区驱动模式对抗老人孤独，提供陪伴与活动服务，2025年初完成数十万美元融资，亮点在极低成本的邻里式情感供给，是新兴市场银发孤独干预的早期样本。,49.6,0.55,7.5,True,93
#1141,Blue Longevity Clinic,养老服务/消费品,诊所/长寿抗衰,55,欧洲长寿医学诊所，2025年获200万欧元融资，计划于希腊、土耳其、保加利亚新开诊所，结合线下诊疗与数字健康。,18,B2C/B2B 长寿诊所(欧洲多国),41.6,0.55,6.2,True,81
#1245,Retro Biosciences,消费品,长寿抗衰,55,长寿生物科技公司，聚焦细胞重编程（ reprogramming）延长健康寿命，2023年完成1.8亿美元融资。,146,长寿生物科技公司，聚焦细胞重编程、自噬与血浆稀释三大延寿机制，并用定制AI模型设计重编程蛋白以提速研发。首款在研药物RTR242（增强溶酶体自噬）已启动阿尔茨海默病人体试验，尚处临床早期。收入模式待药,47.7,4.55,9.8,True,84
#1352,Abridge,行业服务,AI医疗,55,临床文档 AI 平台，用生成式 AI 自动生成病历草稿，显著提升医生/护理记录效率，广泛应用于养老与护理场景。,141,环境式临床AI文档厂商，在医患对话时实时生成病历，并延伸到计费编码、临床决策支持与支付方裁决，定位'医疗操作系统'。以B2B SaaS订阅卖给医疗系统，已落地300余家机构、年处理超1亿次问诊。银发关,59.6,4.55,11.1,True,89
,南通英可达信息技术有限公司,养老服务,养老信息平台,55,南通英可达信息技术有限公司：养老软硬件定制开发平台。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,55,南通英可达信息技术有限公司：养老软硬件定制开发平台。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,75
,上海欢乐友道数字科技有限公司,行业服务,,55,上海欢乐友道数字科技有限公司：上海社区门店资源平台。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,55,上海欢乐友道数字科技有限公司：上海社区门店资源平台。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,123
,北京新安居健康科技产业有限公司,养老服务,居家护理,55,北京新安居健康科技产业有限公司：北京成都 6 家社区嵌入式养老。面向银发人群及相关养老服务机构提供产品与服务。,55,北京新安居健康科技产业有限公司：北京成都 6 家社区嵌入式养老。面向银发人群及相关养老服务机构提供产品与服务。,,,,True,90
,中移（杭州）信息技术有限公司,养老服务,居家护理,55,中移（杭州）信息技术有限公司：移动银发生态平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,55,中移（杭州）信息技术有限公司：移动银发生态平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,105
,北京怡安医疗科技有限公司,康复辅具,远程医疗,55,北京怡安医疗科技有限公司：三甲专家视频问诊平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,55,北京怡安医疗科技有限公司：三甲专家视频问诊平台。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,86
,深圳市路得康养科技有限公司,消费品,保健品,55,深圳市路得康养科技有限公司：中老年抗衰护肝保健产品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,55,深圳市路得康养科技有限公司：中老年抗衰护肝保健产品。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,87
,湖南湘科常德鑫鼎,康复辅具,智能硬件,55,湖南湘科常德鑫鼎：110 联网养老智能预警系统。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,55,湖南湘科常德鑫鼎：110 联网养老智能预警系统。通过平台化运营与软硬件服务，连接银发人群、服务机构与产业资源。,,,,True,135
,上海三思电子工程有限公司,康复辅具,智能硬件,55,上海三思电子工程有限公司：适老化 LED 智能照明。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,55,上海三思电子工程有限公司：适老化 LED 智能照明。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,103
,青岛海讯智康健康科技有限公司,康复辅具,智能硬件,55,青岛海讯智康健康科技有限公司：海尔全套智慧康养硬件。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,55,青岛海讯智康健康科技有限公司：海尔全套智慧康养硬件。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,117
,河北伟誉医疗康养科技有限公司,康复辅具,护理床,55,河北伟誉医疗康养科技有限公司：养老防护辅具全套生产。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,55,河北伟誉医疗康养科技有限公司：养老防护辅具全套生产。公司主要通过渠道招商、代理分销与产业链上下游合作拓展市场。,,,,True,85
